"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2018-02-21","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"38531635717.32",,,,,,"Y"
"2018-02-21","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"38227246720.74",,,,,,"Y"
"2018-02-21","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"36680383744.29",,,,,,"Y"
"2018-02-21","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"34310071158.34",,,,,,"Y"
"2018-02-21","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"23701903733.19",,,,,,"Y"
"2018-02-21","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"23584998688.11",,,,,,"Y"
"2018-02-21","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"20915580979.1",,,,,,"Y"
"2018-02-21","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"18816609719.58",,,,,,"Y"
"2018-02-21","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"18629991667.37",,,,,,"Y"
"2018-02-21","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"17485128291.84",,,,,,"Y"
"2018-02-21","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"17154553403.78",,,,,,"Y"
"2018-02-21","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"16395008427.76",,,,,,"Y"
"2018-02-21","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"14359164588.07",,,,,,"Y"
"2018-02-21","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12758076851.78",,,,,,""
"2018-02-21","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"12267825374.84",,,,,,"Y"
"2018-02-21","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"11480922544.87",,,,,,"Y"
"2018-02-21","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"10956990256.43",,,,,,"Y"
"2018-02-21","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"10898425509.5",,,,,,"Y"
"2018-02-21","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"10669206856.08",,,,,,"Y"
"2018-02-21","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"10545890238.42",,,,,,"Y"
"2018-02-21","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"10293713299.52",,,,,,"Y"
"2018-02-21","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"10109355983.74",,,,,,"Y"
