"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-09-09","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"51203291922.9",,,,,,"Y"
"2020-09-09","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"35956663331.71",,,,,,"Y"
"2020-09-09","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"29368202122.76",,,,,,""
"2020-09-09","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"26719273028.73",,,,,,"Y"
"2020-09-09","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"26642616952.74",,,,,,"Y"
"2020-09-09","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"24054504348.09",,,,,,""
"2020-09-09","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"23666197889.75",,,,,,""
"2020-09-09","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"23504352466.85",,,,,,"Y"
"2020-09-09","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"21319685240.99",,,,,,"Y"
"2020-09-09","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"20016688803.66",,,,,,""
"2020-09-09","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"17931688033.35",,,,,,"Y"
"2020-09-09","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"17698952453.24",,,,,,""
"2020-09-09","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"17690004135.95",,,,,,""
"2020-09-09","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"17555835737.65",,,,,,""
"2020-09-09","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"16627945837.17",,,,,,"Y"
"2020-09-09","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"16548005731",,,,,,""
"2020-09-09","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"16412471240.73",,,,,,"Y"
"2020-09-09","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"16325243022.55",,,,,,""
"2020-09-09","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"15982885862.85",,,,,,"Y"
"2020-09-09","'36179VKL3'","MBS","GNMA II MORTPASS 3% 04/50","30yr",,,,,"15746012860.89",,,,,,""
"2020-09-09","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"15464383520.78",,,,,,""
"2020-09-09","'31335CJN5'","MBS","FHLMCGLD 3.5% 01/48","30yr",,,,,"15201317917.02",,,,,,"Y"
"2020-09-09","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"14750886522.61",,,,,,""
"2020-09-09","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"14448528494",,,,,,"Y"
"2020-09-09","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"13570457089.28",,,,,,"Y"
"2020-09-09","'3140X5R70'","MBS","UMBS MORTPASS 3.5% 03/49","30yr",,,,,"13022804376.87",,,,,,"Y"
"2020-09-09","'3138ETKG0'","MBS","UMBS MORTPASS 3% 01/43","30yr",,,,,"12586989455.23",,,,,,"Y"
"2020-09-09","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"11899371412.17",,,,,,"Y"
"2020-09-09","'3138ETKK1'","MBS","UMBS MORTPASS 3.5% 01/44","30yr",,,,,"11144722460.74",,,,,,"Y"
"2020-09-09","'36179VMD9'","MBS","GNMA II MORTPASS 3% 05/50","30yr",,,,,"11134696739.38",,,,,,""
