"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-04-01","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"60436271768.45",,,,,,"Y"
"2020-04-01","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"42357916350.86",,,,,,"Y"
"2020-04-01","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"30016010134.88",,,,,,"Y"
"2020-04-01","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"29759873536.51",,,,,,"Y"
"2020-04-01","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"26438478895.26",,,,,,"Y"
"2020-04-01","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"26239032474.83",,,,,,"Y"
"2020-04-01","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"22200672996.72",,,,,,"Y"
"2020-04-01","'31335CJN5'","MBS","FHLMCGLD 3.5% 01/48","30yr",,,,,"19757072561.97",,,,,,"Y"
"2020-04-01","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"19568250761.25",,,,,,"Y"
"2020-04-01","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"18552030162.56",,,,,,"Y"
"2020-04-01","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"18512513723.16",,,,,,"Y"
"2020-04-01","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"17880189323.41",,,,,,"Y"
"2020-04-01","'3140X5R70'","MBS","UMBS MORTPASS 3.5% 03/49","30yr",,,,,"17025333924.62",,,,,,"Y"
"2020-04-01","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"16195401032.13",,,,,,"Y"
"2020-04-01","'3138ETKG0'","MBS","UMBS MORTPASS 3% 01/43","30yr",,,,,"14445699312.76",,,,,,"Y"
"2020-04-01","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"13357031922.22",,,,,,"Y"
"2020-04-01","'3138ETP75'","MBS","UMBS MORTPASS 3.5% 12/45","30yr",,,,,"13242026347.71",,,,,,"Y"
"2020-04-01","'3140X5EA7'","MBS","UMBS MORTPASS 4% 02/48","30yr",,,,,"13079690775.75",,,,,,"Y"
"2020-04-01","'3138ETKK1'","MBS","UMBS MORTPASS 3.5% 01/44","30yr",,,,,"12847196748.11",,,,,,"Y"
"2020-04-01","'3138ETE44'","MBS","UMBS MORTPASS 3.5% 05/43","30yr",,,,,"12139763448.3",,,,,,"Y"
"2020-04-01","'31335CJP0'","MBS","FHLMCGLD 4% 02/48","30yr",,,,,"11802753286.24",,,,,,"Y"
"2020-04-01","'3138ETP26'","MBS","UMBS MORTPASS 3.5% 09/45","30yr",,,,,"10191192256.07",,,,,,"Y"
"2020-04-01","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"9091186889.36",,,,,,""
"2020-04-01","'3140J8BW2'","MBS","UMBS MORTPASS 2.5% 02/32","15yr",,,,,"8681433012.88",,,,,,"Y"
"2020-04-01","'3138ETKL9'","MBS","UMBS MORTPASS 4% 03/44","30yr",,,,,"8399042762",,,,,,"Y"
"2020-04-01","'3138ETE51'","MBS","UMBS MORTPASS 3.5% 06/43","30yr",,,,,"8244436225.94",,,,,,"Y"
"2020-04-01","'3138ETP34'","MBS","UMBS MORTPASS 3.5% 07/45","30yr",,,,,"7970378966.16",,,,,,"Y"
"2020-04-01","'3138ETKH8'","MBS","UMBS MORTPASS 3.5% 01/43","30yr",,,,,"7853881393.95",,,,,,"Y"
"2020-04-01","'3138ETK39'","MBS","UMBS MORTPASS 3.5% 05/45","30yr",,,,,"7624015401.55",,,,,,"Y"
"2020-04-01","'3140X5KQ5'","MBS","UMBS MORTPASS 3% 06/33","15yr",,,,,"7444696548.43",,,,,,"Y"
"2020-04-01","'3138ETP83'","MBS","UMBS MORTPASS 3% 01/46","30yr",,,,,"7402874440.89",,,,,,"Y"
"2020-04-01","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"7368844527.94",,,,,,"Y"
"2020-04-01","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"7283880717.39",,,,,,"Y"
"2020-04-01","'3138ETQA7'","MBS","UMBS MORTPASS 3% 05/45","30yr",,,,,"7152986421.85",,,,,,"Y"
"2020-04-01","'3138ETKM7'","MBS","UMBS MORTPASS 4% 09/44","30yr",,,,,"7126435647.02",,,,,,"Y"
"2020-04-01","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"7086065560.21",,,,,,"Y"
"2020-04-01","'3138ETK54'","MBS","UMBS MORTPASS 4% 06/44","30yr",,,,,"6866718131.76",,,,,,"Y"
"2020-04-01","'3138ETK88'","MBS","UMBS MORTPASS 4% 04/44","30yr",,,,,"6657814485.28",,,,,,"Y"
"2020-04-01","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"6470111056.78",,,,,,""
"2020-04-01","'3138ETKJ4'","MBS","UMBS MORTPASS 3.5% 04/45","30yr",,,,,"6454411757.15",,,,,,"Y"
"2020-04-01","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"6326153317.73",,,,,,"Y"
"2020-04-01","'3138EQWB4'","MBS","UMBS MORTPASS 4% 06/42","30yr",,,,,"6170315905.35",,,,,,"Y"
