"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2016-10-19","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"45615436198.18",,,,,,"Y"
"2016-10-19","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"45064231496.8",,,,,,"Y"
"2016-10-19","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"40981285582.06",,,,,,"Y"
"2016-10-19","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"27965657282.67",,,,,,"Y"
"2016-10-19","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"27714510735.44",,,,,,"Y"
"2016-10-19","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"24044215345.74",,,,,,"Y"
"2016-10-19","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"22226014446.8",,,,,,"Y"
"2016-10-19","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"22056788345.81",,,,,,"Y"
"2016-10-19","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"20732504139.04",,,,,,"Y"
"2016-10-19","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"20186294963.88",,,,,,"Y"
"2016-10-19","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"18192081003.55",,,,,,"Y"
"2016-10-19","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"17187002109.65",,,,,,"Y"
"2016-10-19","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"15196586604.71",,,,,,"Y"
"2016-10-19","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"15190011489.55",,,,,,"Y"
"2016-10-19","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"14544306460.49",,,,,,"Y"
"2016-10-19","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"14166523771.34",,,,,,"Y"
"2016-10-19","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"13765562282.17",,,,,,"Y"
"2016-10-19","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"13564654493.59",,,,,,"Y"
"2016-10-19","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"13312212310.21",,,,,,"Y"
"2016-10-19","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"13311171408.23",,,,,,"Y"
"2016-10-19","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"12366038528.75",,,,,,"Y"
"2016-10-19","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"12024999108.95",,,,,,"Y"
"2016-10-19","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"11693677655.81",,,,,,"Y"
"2016-10-19","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"11618494375.38",,,,,,"Y"
"2016-10-19","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"11532625739.17",,,,,,"Y"
"2016-10-19","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"11380234766.73",,,,,,"Y"
"2016-10-19","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"11141941741.94",,,,,,"Y"
"2016-10-19","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10904512990.74",,,,,,"Y"
"2016-10-19","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"10599540388.96",,,,,,"Y"
"2016-10-19","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"10322109664.74",,,,,,"Y"
"2016-10-19","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"10251821658.63",,,,,,"Y"
"2016-10-19","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"10172463509.66",,,,,,"Y"
"2016-10-19","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"9955963424.4",,,,,,"Y"
"2016-10-19","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"9900579810.29",,,,,,""
"2016-10-19","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"9622259919.85",,,,,,"Y"
"2016-10-19","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"9589196642.69",,,,,,"Y"
"2016-10-19","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"9162083508.03",,,,,,"Y"
"2016-10-19","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9134633019.09",,,,,,"Y"
"2016-10-19","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"9076270667.97",,,,,,"Y"
"2016-10-19","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"8439493578.59",,,,,,"Y"
"2016-10-19","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"8172258453.2",,,,,,"Y"
"2016-10-19","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"7824203791.03",,,,,,""
"2016-10-19","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"7506975937.24",,,,,,""
"2016-10-19","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"7440492122.26",,,,,,"Y"
"2016-10-19","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"7318225696.91",,,,,,""
"2016-10-19","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"7270185061.48",,,,,,"Y"
"2016-10-19","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"7175462103.61",,,,,,""
"2016-10-19","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"7163485260.68",,,,,,""
"2016-10-19","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"7080225228.93",,,,,,"Y"
"2016-10-19","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"6984458923.23",,,,,,"Y"
"2016-10-19","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"6867571930",,,,,,""
"2016-10-19","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"6769846251.51",,,,,,"Y"
"2016-10-19","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"6712713595.73",,,,,,"Y"
"2016-10-19","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"6517371469.86",,,,,,"Y"
"2016-10-19","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"6505687891.2",,,,,,""
"2016-10-19","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"6353141529.52",,,,,,""
"2016-10-19","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"6294624400.36",,,,,,"Y"
"2016-10-19","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"6289272290.64",,,,,,"Y"
"2016-10-19","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"6244616422.07",,,,,,""
"2016-10-19","'36179RNW5'","MBS","GNMA II 3.5% 09/45","30yr",,,,,"6203302093.04",,,,,,""
"2016-10-19","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"6162353140.81",,,,,,"Y"
"2016-10-19","'36179Q6P1'","MBS","GNMA II 3.5% 03/45","30yr",,,,,"6146822412.41",,,,,,""
"2016-10-19","'36179RJE0'","MBS","GNMA II 3.5% 07/45","30yr",,,,,"5936009375.68",,,,,,""
"2016-10-19","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"5918335504.71",,,,,,"Y"
"2016-10-19","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"5838833949.1",,,,,,""
"2016-10-19","'3128MJY61'","MBS","FHLMCGLD 3% 10/46","30yr",,,,,"5796272996",,,,,,""
"2016-10-19","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"5578450792.84",,,,,,"Y"
"2016-10-19","'36179QT43'","MBS","GNMA II 3.5% 11/44","30yr",,,,,"5483234060.54",,,,,,""
"2016-10-19","'36179RD71'","MBS","GNMA II 3.5% 05/45","30yr",,,,,"5477588426.43",,,,,,""
"2016-10-19","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"5453473149.75",,,,,,""
"2016-10-19","'36179RF95'","MBS","GNMA II 3.5% 06/45","30yr",,,,,"5415555634.49",,,,,,""
"2016-10-19","'3128MEY39'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"5372550498.96",,,,,,"Y"
"2016-10-19","'3138ETRF5'","MBS","FNMA MORTPASS 3.5% 10/45","30yr",,,,,"5360030281.21",,,,,,"Y"
"2016-10-19","'3138EQGC0'","MBS","FNMA MORTPASS 4.5% 01/41","30yr",,,,,"5326871885.27",,,,,,"Y"
"2016-10-19","'36179MSW1'","MBS","GNMA II MORTPASS 3% 11/42","30yr",,,,,"5286385225.8",,,,,,""
"2016-10-19","'3138ETRJ7'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"5153287453.14",,,,,,"Y"
"2016-10-19","'36179NDQ8'","MBS","GNMA II MORTPASS 3% 05/43","30yr",,,,,"5098072371.27",,,,,,""
