"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-02-03","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"38670900126.27",,,,,,"Y"
"2021-02-03","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"32912181202.21",,,,,,""
"2021-02-03","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29459773918.25",,,,,,""
"2021-02-03","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"28721701885.28",,,,,,""
"2021-02-03","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"28296271524.05",,,,,,""
"2021-02-03","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"27457862987.08",,,,,,"Y"
"2021-02-03","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"23528357710.19",,,,,,""
"2021-02-03","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"21901326869.19",,,,,,"Y"
"2021-02-03","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"21864438743.71",,,,,,""
"2021-02-03","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"21775859155.38",,,,,,""
"2021-02-03","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"21368641404.08",,,,,,"Y"
"2021-02-03","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"20934134058.89",,,,,,""
"2021-02-03","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"20653796556.55",,,,,,""
"2021-02-03","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"20568460684.95",,,,,,""
"2021-02-03","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"20405404045.3",,,,,,""
"2021-02-03","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20318892400.62",,,,,,""
"2021-02-03","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"20304610157.65",,,,,,""
"2021-02-03","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"19669985537.53",,,,,,""
"2021-02-03","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"19145722203.04",,,,,,"Y"
"2021-02-03","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"18895825439.17",,,,,,""
"2021-02-03","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"18283056017.84",,,,,,""
"2021-02-03","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"16061465992.55",,,,,,"Y"
"2021-02-03","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"15580883360.9",,,,,,""
"2021-02-03","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"15469097954.04",,,,,,""
"2021-02-03","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"15168601073",,,,,,""
"2021-02-03","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"15059196415.46",,,,,,""
"2021-02-03","'31418DSJ2'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"15012295430.87",,,,,,""
"2021-02-03","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"14767486966.34",,,,,,""
"2021-02-03","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"13663359247.64",,,,,,"Y"
"2021-02-03","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"13631333366",,,,,,""
"2021-02-03","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"13482451518.42",,,,,,"Y"
"2021-02-03","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"13232163314.65",,,,,,"Y"
"2021-02-03","'36179VKL3'","MBS","GNMA II MORTPASS 3% 04/50","30yr",,,,,"13057859942.85",,,,,,""
"2021-02-03","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"12924516167",,,,,,""
"2021-02-03","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"12210083588.69",,,,,,"Y"
"2021-02-03","'36179VKK5'","MBS","GNMA II 2.5% 04/50","30yr",,,,,"11009485141.82",,,,,,""
