"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2013-05-01","'36179M2P4'","MBS","GNMA II GTD 3% 02/43","30yr",,,,,"15231381738.26",,,,,,""
"2013-05-01","'3138EHBH4'","MBS","FED NATL MORT 4.5% 10/39","30yr",,,,,"14653361355.63",,,,,,"Y"
"2013-05-01","'36179MX39'","MBS","GNMA II SINGLE 3% 01/43","30yr",,,,,"11305162570.07",,,,,,""
"2013-05-01","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"11157064619.21",,,,,,"Y"
"2013-05-01","'36179M5L0'","MBS","GOVT NATL MTG 3% 03/43","30yr",,,,,"10716315718.33",,,,,,""
"2013-05-01","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"10491919339.86",,,,,,"Y"
"2013-05-01","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"10426314643.21",,,,,,"Y"
"2013-05-01","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"10225163113.19",,,,,,"Y"
"2013-05-01","'36179MVR8'","MBS","GNMA II GTD 3% 12/42","30yr",,,,,"9637874404.21",,,,,,""
"2013-05-01","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"9635543212.23",,,,,,"Y"
"2013-05-01","'3138EGNT7'","MBS","FED NATL MORT 4.5% 06/40","30yr",,,,,"9518563511.5",,,,,,"Y"
"2013-05-01","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"9444338069.12",,,,,,"Y"
"2013-05-01","'3138EHBL5'","MBS","FED NATL MORT 4.5% 08/39","30yr",,,,,"9394006232.94",,,,,,"Y"
"2013-05-01","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"8667807108.65",,,,,,"Y"
"2013-05-01","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"8380689099.8",,,,,,"Y"
"2013-05-01","'36179MSW1'","MBS","GOVT NATIONAL 3% 11/42","30yr",,,,,"8232460512.69",,,,,,""
"2013-05-01","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"8124985196.47",,,,,,"Y"
"2013-05-01","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"8038639722.2",,,,,,"Y"
"2013-05-01","'3138EGF33'","MBS","FED NATL MORT 5% 06/40","30yr",,,,,"8009090140.32",,,,,,"Y"
"2013-05-01","'36179MAX8'","MBS","GNMA II GTD 3.5% 04/42","30yr",,,,,"7750087716.38",,,,,,""
"2013-05-01","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"7552298726.3",,,,,,"Y"
"2013-05-01","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"7537259664.21",,,,,,"Y"
"2013-05-01","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"7433902790.58",,,,,,"Y"
"2013-05-01","'3138EGVW1'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"7169539143.57",,,,,,"Y"
"2013-05-01","'3138EGWB6'","MBS","FED NATL MORT 5% 07/40","30yr",,,,,"7123335632.99",,,,,,"Y"
"2013-05-01","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"6989031566.69",,,,,,"Y"
"2013-05-01","'3128M8X58'","MBS","FHLMCGLD 4.5% 06/39","30yr",,,,,"6771304432.91",,,,,,"Y"
"2013-05-01","'36179NBA5'","MBS","GNMA II MORTPASS 3% 04/43","30yr",,,,,"6238564243",,,,,,""
"2013-05-01","'3128M8QT4'","MBS","FED HOME LOAN 4.5% 07/40","30yr",,,,,"6171919143.44",,,,,,"Y"
"2013-05-01","'3128M8QZ0'","MBS","FED HOME LOAN 5% 05/40","30yr",,,,,"6086441458.4",,,,,,"Y"
"2013-05-01","'3128M8V27'","MBS","FED HOME LOAN 4.5% 03/40","30yr",,,,,"5597053072.98",,,,,,"Y"
"2013-05-01","'3138EGQG2'","MBS","FED NATL MORT 4.5% 05/40","30yr",,,,,"5519927266.79",,,,,,"Y"
"2013-05-01","'3128MJSS0'","MBS","FHLMCGLD 3% 04/43","30yr",,,,,"5508093845",,,,,,""
"2013-05-01","'3138EHBR2'","MBS","FED NATL MORT 4.5% 08/39","30yr",,,,,"5291643034.69",,,,,,"Y"
"2013-05-01","'3128M8WL4'","MBS","FED HOME LOAN 4.5% 10/39","30yr",,,,,"5186165308.67",,,,,,"Y"
"2013-05-01","'3138EGWJ9'","MBS","FED NATL MORT 4.5% 01/40","30yr",,,,,"5129327545.29",,,,,,"Y"
"2013-05-01","'36179MQN3'","MBS","GOVT NATL MTG 3% 10/42","30yr",,,,,"5042294249.03",,,,,,""
"2013-05-01","'3138EHCZ3'","MBS","FED NATL MORT 4.5% 04/39","30yr",,,,,"4944016626.41",,,,,,"Y"
"2013-05-01","'36179MCZ1'","MBS","GOVERNMENT 3.5% 05/42","30yr",,,,,"4844594033.13",,,,,,""
"2013-05-01","'36202E7G8'","MBS","GNMA II 4.5% 07/39","30yr",,,,,"4708634629.19",,,,,,""
"2013-05-01","'3128M8RK2'","MBS","FED HOME LOAN 4.5% 06/40","30yr",,,,,"4553971884.99",,,,,,"Y"
"2013-05-01","'3128M8V76'","MBS","FED HOME LOAN 4% 08/39","30yr",,,,,"4302517472.35",,,,,,"Y"
"2013-05-01","'36202F4Q6'","MBS","GNMA II GTD 3.5% 03/42","30yr",,,,,"4291213409.49",,,,,,""
"2013-05-01","'3128M8WU4'","MBS","FED HOME LOAN 4% 05/39","30yr",,,,,"4198818184",,,,,,"Y"
"2013-05-01","'3138EGW59'","MBS","FED NATL MORT 5.5% 06/39","30yr",,,,,"4171299246.16",,,,,,"Y"
"2013-05-01","'3128M8QR8'","MBS","FED HOME LOAN 5% 07/40","30yr",,,,,"4171134963.02",,,,,,"Y"
"2013-05-01","'3138EGXN9'","MBS","FED NATL MORT 4% 08/39","30yr",,,,,"4142670334.56",,,,,,"Y"
"2013-05-01","'3128M8X33'","MBS","FED HOME LOAN 4.5% 03/40","30yr",,,,,"4090997736.65",,,,,,"Y"
"2013-05-01","'3138EGXS8'","MBS","FED NATL MORT 4% 06/39","30yr",,,,,"4090507071.9",,,,,,"Y"
"2013-05-01","'3128MJSK7'","MBS","FED HOME LOAN 3% 01/43","30yr",,,,,"4062153887.92",,,,,,""
"2013-05-01","'3128M8WA8'","MBS","FED HOME LOAN 4% 07/39","30yr",,,,,"3808047631.98",,,,,,"Y"
"2013-05-01","'31292SAU4'","MBS","FED HOME LOAN 3% 12/42","30yr",,,,,"3806012160.49",,,,,,""
"2013-05-01","'3128M8XJ8'","MBS","FED HOME LOAN 5% 05/39","30yr",,,,,"3723987873.48",,,,,,"Y"
"2013-05-01","'31292SA67'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"3674159188.41",,,,,,""
"2013-05-01","'3128M8WE0'","MBS","FED HOME LOAN 4% 06/39","30yr",,,,,"3658031970.69",,,,,,"Y"
"2013-05-01","'3138EGFQ2'","MBS","FED NATL MORT 5% 07/40","30yr",,,,,"3477384728.51",,,,,,"Y"
"2013-05-01","'3138EHBV3'","MBS","FED NATL MORT 5% 07/39","30yr",,,,,"3389110588.88",,,,,,"Y"
"2013-05-01","'3138EGWH3'","MBS","FED NATL MORT 5.5% 09/39","30yr",,,,,"3277303888.44",,,,,,"Y"
"2013-05-01","'31292SAQ3'","MBS","FED HOME LOAN 3% 10/42","30yr",,,,,"3275100901.24",,,,,,""
"2013-05-01","'3138EGWE0'","MBS","FED NATL MORT 4% 07/39","30yr",,,,,"3250553619.93",,,,,,"Y"
"2013-05-01","'3128M8YC2'","MBS","FED HOME LOAN 4.5% 05/39","30yr",,,,,"3149537881.07",,,,,,"Y"
"2013-05-01","'3138EGXR0'","MBS","FED NATL MORT 5.5% 07/39","30yr",,,,,"3062015418.4",,,,,,"Y"
"2013-05-01","'31292SBC3'","MBS","FHLMCGLD 3% 04/43","30yr",,,,,"3001693954.66",,,,,,""
"2013-05-01","'3138EHBS0'","MBS","FED NATL MORT 5% 08/39","30yr",,,,,"2947448220.55",,,,,,"Y"
"2013-05-01","'36179MG53'","MBS","GNMA II 3.5% 07/42","30yr",,,,,"2924366702.86",,,,,,""
"2013-05-01","'3128M8RJ5'","MBS","FED HOME LOAN 4% 02/40","30yr",,,,,"2884675123.15",,,,,,"Y"
"2013-05-01","'3128MJQ37'","MBS","FED HOME LOAN 3.5% 01/42","30yr",,,,,"2818974032.39",,,,,,""
"2013-05-01","'3138EHA77'","MBS","FED NATL MORT 5.5% 01/40","30yr",,,,,"2816866034.32",,,,,,"Y"
"2013-05-01","'31292SA42'","MBS","FED HOME LOAN 3% 02/43","30yr",,,,,"2801408123.08",,,,,,""
"2013-05-01","'3128MJSG6'","MBS","FED HOME LOAN 3% 02/43","30yr",,,,,"2762870397",,,,,,""
"2013-05-01","'36202FAU0'","MBS","GNMA PASS-THRU 4.5% 08/39","30yr",,,,,"2619278503.44",,,,,,""
"2013-05-01","'36202F3M6'","MBS","GOVERNMENT 3.5% 02/42","30yr",,,,,"2568744821.6",,,,,,""
"2013-05-01","'36179MK74'","MBS","GOVT NATL MTG 3.5% 08/42","30yr",,,,,"2564364165.17",,,,,,""
"2013-05-01","'3138EHBT8'","MBS","FED NATL MORT 5.5% 01/40","30yr",,,,,"2556385031.04",,,,,,"Y"
"2013-05-01","'3128MJSN1'","MBS","FED HOME LOAN 3% 03/43","30yr",,,,,"2472863072.12",,,,,,""
"2013-05-01","'3138LTJZ2'","MBS","FEDERAL 3.5% 05/42","30yr",,,,,"2370085202.31",,,,,,""
"2013-05-01","'36179MNH9'","MBS","GOVT NATL MTG 3.5% 09/42","30yr",,,,,"2272530645.78",,,,,,""
"2013-05-01","'36202F2L9'","MBS","GNMA II GTD 3.5% 01/42","30yr",,,,,"2252801441.77",,,,,,""
"2013-05-01","'36202E6D6'","MBS","GNMA II 4.5% 06/39","30yr",,,,,"2231140052.47",,,,,,""
"2013-05-01","'3128M8QY3'","MBS","FED HOME LOAN 4.5% 04/40","30yr",,,,,"2143938335.25",,,,,,"Y"
"2013-05-01","'3128MJQ78'","MBS","FEDERAL HOME 3.5% 02/42","30yr",,,,,"2092851991.93",,,,,,""
"2013-05-01","'3138EGQC1'","MBS","FED NATL MORT 5.5% 10/39","30yr",,,,,"1978951272.84",,,,,,"Y"
"2013-05-01","'31419BCT0'","MBS","FEDERAL 3.5% 03/41","30yr",,,,,"1975577939.69",,,,,,""
"2013-05-01","'3138EHBK7'","MBS","FED NATL MORT 5.5% 04/40","30yr",,,,,"1965124848.72",,,,,,"Y"
"2013-05-01","'36179MQP8'","MBS","GNMA II 3.5% 10/42","30yr",,,,,"1935995299.36",,,,,,""
"2013-05-01","'3138E0RA9'","MBS","FEDERAL 3.5% 12/41","30yr",,,,,"1935159668.84",,,,,,""
"2013-05-01","'3128M8WM2'","MBS","FED HOME LOAN 5% 09/39","30yr",,,,,"1916348811.71",,,,,,"Y"
"2013-05-01","'3138EGGM0'","MBS","FEDERAL 4.5% 05/40","30yr",,,,,"1907856061.85",,,,,,"Y"
"2013-05-01","'31419A4N4'","MBS","FNMA MORTPASS 3.5% 02/41","30yr",,,,,"1905287780.57",,,,,,""
"2013-05-01","'3132GKZN9'","MBS","FED HOME LOAN 3.5% 11/41","30yr",,,,,"1898750801.95",,,,,,""
"2013-05-01","'31292SAX8'","MBS","FEDERAL HOME LN 3% 01/43","30yr",,,,,"1876648449.2",,,,,,""
"2013-05-01","'3128M8X41'","MBS","FED HOME LOAN 5% 06/40","30yr",,,,,"1842065028.04",,,,,,"Y"
"2013-05-01","'3138M2C46'","MBS","FED NATL MORT 2.5% 07/27","15yr",,,,,"1811944507.76",,,,,,""
"2013-05-01","'36179ME30'","MBS","GNMA II GTD 3.5% 06/42","30yr",,,,,"1796290541.65",,,,,,""
"2013-05-01","'3132HLM34'","MBS","FED HOME LOAN 3% 08/42","30yr",,,,,"1756236910.77",,,,,,""
"2013-05-01","'36202FZX7'","MBS","GNMA II GTD 3.5% 12/41","30yr",,,,,"1697577732.95",,,,,,""
"2013-05-01","'3128MJRM4'","MBS","FEDERAL HOME 3.5% 05/42","30yr",,,,,"1636705036.41",,,,,,""
"2013-05-01","'31418AMW5'","MBS","FED NATL MORT 3% 12/42","30yr",,,,,"1633421548.02",,,,,,""
"2013-05-01","'36179MSX9'","MBS","GOVT NATL MTG 3.5% 11/42","30yr",,,,,"1604571268.83",,,,,,""
"2013-05-01","'3128M8X25'","MBS","FED HOME LOAN 5% 01/39","30yr",,,,,"1540907741.56",,,,,,"Y"
"2013-05-01","'3138EHFK3'","MBS","FED NATL MORT 5% 03/39","30yr",,,,,"1539342949.41",,,,,,"Y"
"2013-05-01","'3138EGQL1'","MBS","FED NATL MORT 5.5% 01/40","30yr",,,,,"1493827558.95",,,,,,"Y"
"2013-05-01","'3128MJR36'","MBS","FED HOME LOAN 3% 09/42","30yr",,,,,"1415891704.85",,,,,,""
"2013-05-01","'3128M8G99'","MBS","FHLMC PC GOLD 3.5% 01/41","30yr",,,,,"1408124729.81",,,,,,""
"2013-05-01","'36202FEJ1'","MBS","GNMA PASS-THRU M 5% 02/40","30yr",,,,,"1402918522.78",,,,,,""
"2013-05-01","'36179MNG1'","MBS","GNMA II GTD 3% 09/42","30yr",,,,,"1400037382.57",,,,,,""
"2013-05-01","'3128MMQP1'","MBS","FHLMCGLD 2.5% 04/28","15yr",,,,,"1381640532",,,,,,""
"2013-05-01","'3138EGWM2'","MBS","FNMA MORTPASS 4% 09/24","15yr",,,,,"1380017062.58",,,,,,"Y"
"2013-05-01","'3132GUWB6'","MBS","FED HOME LOAN 3.5% 06/42","30yr",,,,,"1359778970.63",,,,,,""
"2013-05-01","'3128MJRJ1'","MBS","FED HOME LOAN 3.5% 04/42","30yr",,,,,"1356318906.41",,,,,,""
"2013-05-01","'36179MK66'","MBS","GNMA II GTD 3% 08/42","30yr",,,,,"1331162740.76",,,,,,""
"2013-05-01","'3138EGPL2'","MBS","FNMA MORTPASS 4% 12/24","15yr",,,,,"1325336780.96",,,,,,"Y"
"2013-05-01","'3138EGFZ2'","MBS","FNMA MORTPASS 4% 05/25","15yr",,,,,"1315138815.17",,,,,,"Y"
"2013-05-01","'3138EHA28'","MBS","FED NATL MORT 5% 05/40","30yr",,,,,"1284789075.02",,,,,,"Y"
"2013-05-01","'3128M8WS9'","MBS","FED HOME LOAN 5% 05/39","30yr",,,,,"1273809513.82",,,,,,"Y"
"2013-05-01","'3138EKD36'","MBS","FED NATL MORT 3.5% 10/42","30yr",,,,,"1260629817.03",,,,,,""
"2013-05-01","'3132HN3F4'","MBS","FHLMCGLD 3% 10/42","30yr",,,,,"1255596791.63",,,,,,""
"2013-05-01","'3128M8WV2'","MBS","FED HOME LOAN 5% 10/39","30yr",,,,,"1250952461.67",,,,,,"Y"
"2013-05-01","'31418AD96'","MBS","FNMA MORTPASS 3.5% 04/42","30yr",,,,,"1235751851.64",,,,,,""
"2013-05-01","'31306YKV2'","MBS","FED HOME LOAN 2.5% 11/27","15yr",,,,,"1233730370.9",,,,,,""
"2013-05-01","'3138EGHD9'","MBS","FNMA MORTPASS 4% 03/25","15yr",,,,,"1219959412.22",,,,,,"Y"
"2013-05-01","'31292R7M8'","MBS","FED HOME LOAN 3.5% 06/42","30yr",,,,,"1208218668.3",,,,,,""
"2013-05-01","'3138LY5A1'","MBS","FEDERAL NATIONAL 3% 07/42","30yr",,,,,"1207884482.92",,,,,,""
"2013-05-01","'3128MMQH9'","MBS","FHLMCGLD 2.5% 01/28","15yr",,,,,"1192396308.5",,,,,,""
"2013-05-01","'36202FE77'","MBS","GNMA PASS-THRU M 5% 03/40","30yr",,,,,"1172326664.06",,,,,,""
"2013-05-01","'3138MD2V3'","MBS","FED NATL MORT 2.5% 10/27","15yr",,,,,"1170049257.98",,,,,,""
"2013-05-01","'31292LEQ4'","MBS","FED HOME LOAN 3.5% 02/42","30yr",,,,,"1134975361.62",,,,,,""
"2013-05-01","'3138NY4W2'","MBS","FEDERAL NATIONAL 3% 02/43","30yr",,,,,"1116157722.01",,,,,,""
"2013-05-01","'3138EHBU5'","MBS","FED NATL MORT 4.5% 07/39","30yr",,,,,"1113380789.14",,,,,,"Y"
"2013-05-01","'3128M8WC4'","MBS","FED HOME LOAN 4.5% 10/39","30yr",,,,,"1105654342.5",,,,,,"Y"
"2013-05-01","'31294UAT0'","MBS","FHLMCGLD 2.5% 01/28","15yr",,,,,"1101341735.6",,,,,,""
"2013-05-01","'3128M8QB3'","MBS","FED HOME LOAN 4.5% 08/40","30yr",,,,,"1072513243.48",,,,,,"Y"
"2013-05-01","'3138LURR8'","MBS","FEDERAL 3.5% 05/42","30yr",,,,,"1071123328.87",,,,,,""
"2013-05-01","'3128M8QQ0'","MBS","FED HOME LOAN 4% 03/40","30yr",,,,,"1070562944.31",,,,,,"Y"
"2013-05-01","'31294UA78'","MBS","FHLMCGLD 2.5% 04/28","15yr",,,,,"1053440395.6",,,,,,""
"2013-05-01","'3138EHA36'","MBS","FED NATL MORT 5.5% 08/39","30yr",,,,,"1047782341.72",,,,,,"Y"
"2013-05-01","'3128MJR85'","MBS","FEDERAL HOME LN 3% 11/42","30yr",,,,,"1045633009.09",,,,,,""
"2013-05-01","'3128MJQ94'","MBS","FHLMCGLD 3.5% 03/42","30yr",,,,,"1034293176.34",,,,,,""
"2013-05-01","'3138EGW42'","MBS","FED NATL MORT 5% 03/40","30yr",,,,,"1028677138.05",,,,,,"Y"
"2013-05-01","'3128M8WW0'","MBS","FED HOME LOAN 5.5% 11/38","30yr",,,,,"1027166477.71",,,,,,"Y"
"2013-05-01","'31306X4U4'","MBS","FHLMCGLD 2.5% 10/27","15yr",,,,,"1016423943.08",,,,,,""
"2013-05-01","'3138EGFP4'","MBS","FEDERAL 4.5% 08/40","30yr",,,,,"1005614655.12",,,,,,"Y"
"2013-05-01","'3132HPR48'","MBS","FHLMCGLD 3% 11/42","30yr",,,,,"977148359.37",,,,,,""
"2013-05-01","'3138EGNS9'","MBS","FED NATL MORT 4% 03/40","30yr",,,,,"975809176.38",,,,,,"Y"
"2013-05-01","'3132HPR63'","MBS","FHLMCGLD 3% 11/42","30yr",,,,,"973996585.65",,,,,,""
"2013-05-01","'3132HPR55'","MBS","FHLMCGLD 3% 11/42","30yr",,,,,"971666641.19",,,,,,""
"2013-05-01","'3138MLVA9'","MBS","FED NATL MORT 2.5% 11/27","15yr",,,,,"964447846.61",,,,,,""
"2013-05-01","'3128MJSD3'","MBS","FHLMCGLD 3% 12/42","30yr",,,,,"963036594.17",,,,,,""
"2013-05-01","'3138MFS57'","MBS","FNMA MORTPASS 3% 11/42","30yr",,,,,"962667272.03",,,,,,""
"2013-05-01","'36202FBH8'","MBS","GNMA PASS-THRU 4.5% 09/39","30yr",,,,,"956880315.92",,,,,,""
"2013-05-01","'31294UA29'","MBS","FHLMCGLD 2.5% 03/28","15yr",,,,,"953354276.66",,,,,,""
"2013-05-01","'3138MFRR0'","MBS","FNMA MORTPASS 3% 10/42","30yr",,,,,"948807910.87",,,,,,""
"2013-05-01","'3138LUQ32'","MBS","FED NATL MORT 2.5% 05/27","15yr",,,,,"940881417.31",,,,,,""
"2013-05-01","'31292SAD2'","MBS","FEDERAL HOME 3.5% 07/42","30yr",,,,,"939862405.54",,,,,,""
"2013-05-01","'3132HPR71'","MBS","FHLMCGLD 3% 11/42","30yr",,,,,"935326788.72",,,,,,""
"2013-05-01","'3138EGXP4'","MBS","FNMA MORTPASS 4.5% 02/25","15yr",,,,,"933381128.7",,,,,,"Y"
