"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-12-20","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"39258700444.16",,,,,,"Y"
"2017-12-20","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"38933689137.23",,,,,,"Y"
"2017-12-20","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"37526850784.18",,,,,,"Y"
"2017-12-20","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"34984407414.14",,,,,,"Y"
"2017-12-20","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"24124517637.73",,,,,,"Y"
"2017-12-20","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"23989325124.89",,,,,,"Y"
"2017-12-20","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"21260463353.34",,,,,,"Y"
"2017-12-20","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"19297054462.95",,,,,,"Y"
"2017-12-20","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"18979911753.03",,,,,,"Y"
"2017-12-20","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"17905142594.77",,,,,,"Y"
"2017-12-20","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"17449555080.41",,,,,,"Y"
"2017-12-20","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"16787015724.23",,,,,,"Y"
"2017-12-20","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"14740532011.79",,,,,,"Y"
"2017-12-20","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12881137155.55",,,,,,""
"2017-12-20","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"12689113475.68",,,,,,"Y"
"2017-12-20","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"11821899590.64",,,,,,"Y"
"2017-12-20","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"11216084967.82",,,,,,"Y"
"2017-12-20","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11201265154.44",,,,,,"Y"
"2017-12-20","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"11035145393.27",,,,,,"Y"
"2017-12-20","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"10802042771.87",,,,,,"Y"
"2017-12-20","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"10542330631.64",,,,,,"Y"
"2017-12-20","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"10463870529.46",,,,,,"Y"
"2017-12-20","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10031664903.97",,,,,,"Y"
"2017-12-20","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"9884171898.06",,,,,,"Y"
"2017-12-20","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"9705851288.1",,,,,,"Y"
"2017-12-20","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"9670894797.83",,,,,,"Y"
"2017-12-20","'3140J57J2'","MBS","FNMA MORTPASS 4% 02/47","30yr",,,,,"9654090257.21",,,,,,"Y"
"2017-12-20","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"9458876905.12",,,,,,"Y"
"2017-12-20","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9447373960.8",,,,,,"Y"
"2017-12-20","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9377735319",,,,,,""
"2017-12-20","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8857098896.44",,,,,,"Y"
