"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2012-10-31","'3138EHBH4'","MBS","FNMA MORTPASS 4.5% 10/39","30yr",,,,,"18499589330.53",,,,,,"Y"
"2012-10-31","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"14072724399.74",,,,,,"Y"
"2012-10-31","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"13451206907.05",,,,,,"Y"
"2012-10-31","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"13009910243.65",,,,,,"Y"
"2012-10-31","'3138EHBL5'","MBS","FNMA MORTPASS 4.5% 08/39","30yr",,,,,"12827511357.72",,,,,,"Y"
"2012-10-31","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"12537419953.73",,,,,,"Y"
"2012-10-31","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"12169380772.64",,,,,,"Y"
"2012-10-31","'3138EGNT7'","MBS","FED NATL MORT 4.5% 06/40","30yr",,,,,"12027092507.1",,,,,,"Y"
"2012-10-31","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"11611549853.22",,,,,,"Y"
"2012-10-31","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"10864904495.62",,,,,,"Y"
"2012-10-31","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"10843812478.78",,,,,,"Y"
"2012-10-31","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"10390870480.57",,,,,,"Y"
"2012-10-31","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"10312690608.97",,,,,,"Y"
"2012-10-31","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"10163291199.44",,,,,,"Y"
"2012-10-31","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"10006388793.03",,,,,,"Y"
"2012-10-31","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"9988745474.38",,,,,,"Y"
"2012-10-31","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"9638536707.03",,,,,,"Y"
"2012-10-31","'3128M8X58'","MBS","FHLMCGLD 4.5% 06/39","30yr",,,,,"9522319051.05",,,,,,"Y"
"2012-10-31","'3138EGF33'","MBS","FED NATL MORT 5% 06/40","30yr",,,,,"9311436796.7",,,,,,"Y"
"2012-10-31","'3138EGVW1'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"9006033676.92",,,,,,"Y"
"2012-10-31","'3138EGWB6'","MBS","FNMA MORTPASS 5% 07/40","30yr",,,,,"8571094010.4",,,,,,"Y"
"2012-10-31","'3128M8QT4'","MBS","FED HOME LOAN 4.5% 07/40","30yr",,,,,"7907732048.74",,,,,,"Y"
"2012-10-31","'3138EHBR2'","MBS","FNMA MORTPASS 4.5% 08/39","30yr",,,,,"7707177889.67",,,,,,"Y"
"2012-10-31","'36179MAX8'","MBS","GNMA II GTD 3.5% 04/42","30yr",,,,,"7385011509.68",,,,,,"Y"
"2012-10-31","'3138EHCZ3'","MBS","FNMA MORTPASS 4.5% 04/39","30yr",,,,,"7301678081.25",,,,,,""
"2012-10-31","'3128M8QZ0'","MBS","FHLMCGLD 5% 05/40","30yr",,,,,"7153967277.68",,,,,,"Y"
"2012-10-31","'3128M8V27'","MBS","FHLMCGLD 4.5% 03/40","30yr",,,,,"7137923454.68",,,,,,"Y"
"2012-10-31","'3138EGQG2'","MBS","FNMA MORTPASS 4.5% 05/40","30yr",,,,,"7014015682.63",,,,,,"Y"
"2012-10-31","'3138EGWJ9'","MBS","FNMA MORTPASS 4.5% 01/40","30yr",,,,,"6477248445.63",,,,,,"Y"
"2012-10-31","'3128M8WL4'","MBS","FHLMCGLD 4.5% 10/39","30yr",,,,,"6450438485.79",,,,,,"Y"
"2012-10-31","'3138EGXS8'","MBS","FNMA MORTPASS 4% 06/39","30yr",,,,,"6054547025.01",,,,,,"Y"
"2012-10-31","'3138EGXN9'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"5994534349.11",,,,,,"Y"
"2012-10-31","'3128M8WU4'","MBS","FHLMCGLD 4% 05/39","30yr",,,,,"5968768178.59",,,,,,"Y"
"2012-10-31","'3138EGW59'","MBS","FNMA MORTPASS 5.5% 06/39","30yr",,,,,"5884766482.45",,,,,,"Y"
"2012-10-31","'3128M8RK2'","MBS","FHLMCGLD 4.5% 06/40","30yr",,,,,"5831483546.27",,,,,,"Y"
"2012-10-31","'3128M8V76'","MBS","FHLMCGLD 4% 08/39","30yr",,,,,"5574651584.45",,,,,,"Y"
"2012-10-31","'36202E7G8'","MBS","GNMA II 4.5% 07/39","30yr",,,,,"5572921182.33",,,,,,""
"2012-10-31","'3128M8X33'","MBS","FHLMCGLD 4.5% 03/40","30yr",,,,,"5517365351.06",,,,,,"Y"
"2012-10-31","'3128M8WA8'","MBS","FHLMCGLD 4% 07/39","30yr",,,,,"5433867719.03",,,,,,"Y"
"2012-10-31","'3128M8XJ8'","MBS","FHLMCGLD 5% 05/39","30yr",,,,,"5290435564.09",,,,,,"Y"
"2012-10-31","'3128M8WE0'","MBS","FHLMCGLD 4% 06/39","30yr",,,,,"5230369131.48",,,,,,"Y"
"2012-10-31","'3128M8QR8'","MBS","FHLMCGLD 5% 07/40","30yr",,,,,"4917025928.77",,,,,,"Y"
