"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-01-18","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"43693442470.09",,,,,,"Y"
"2017-01-18","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"43304652456.88",,,,,,"Y"
"2017-01-18","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"39210881530.91",,,,,,"Y"
"2017-01-18","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"26830992089.69",,,,,,"Y"
"2017-01-18","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"26676741179.94",,,,,,"Y"
"2017-01-18","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"22197202429.63",,,,,,"Y"
"2017-01-18","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"21147155057.3",,,,,,"Y"
"2017-01-18","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"20575034190.97",,,,,,"Y"
"2017-01-18","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"19428413734.19",,,,,,"Y"
"2017-01-18","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"19336497753.08",,,,,,"Y"
"2017-01-18","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"16977668850.75",,,,,,"Y"
"2017-01-18","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"15495886506.42",,,,,,"Y"
"2017-01-18","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"13921872861.88",,,,,,"Y"
"2017-01-18","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"13635413724.13",,,,,,"Y"
"2017-01-18","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13547046242.32",,,,,,""
"2017-01-18","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"13215932604.97",,,,,,"Y"
"2017-01-18","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"12839677036.71",,,,,,"Y"
"2017-01-18","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"12823130691.97",,,,,,"Y"
"2017-01-18","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"12426179635.49",,,,,,"Y"
"2017-01-18","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"12229553715.45",,,,,,"Y"
"2017-01-18","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"12185639084.26",,,,,,"Y"
"2017-01-18","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"11132159895.25",,,,,,"Y"
"2017-01-18","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"11022654029.19",,,,,,"Y"
"2017-01-18","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10953900817.13",,,,,,"Y"
"2017-01-18","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10886994923.34",,,,,,"Y"
"2017-01-18","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"10793121536.98",,,,,,"Y"
"2017-01-18","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"10496074686.38",,,,,,"Y"
"2017-01-18","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10463730470.73",,,,,,"Y"
"2017-01-18","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"10126990763.6",,,,,,"Y"
"2017-01-18","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"9704282188.19",,,,,,"Y"
"2017-01-18","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"9655256413.99",,,,,,"Y"
"2017-01-18","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9436491964.48",,,,,,""
"2017-01-18","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"9422009472.35",,,,,,"Y"
"2017-01-18","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"9353079435.43",,,,,,""
"2017-01-18","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"9245681858.45",,,,,,"Y"
"2017-01-18","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"9067726821.03",,,,,,"Y"
"2017-01-18","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"8938047529.34",,,,,,"Y"
"2017-01-18","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"8788620701.27",,,,,,"Y"
"2017-01-18","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"8686290145.7",,,,,,"Y"
"2017-01-18","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"8633946326.74",,,,,,"Y"
"2017-01-18","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8318690435.29",,,,,,"Y"
"2017-01-18","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"7724967785.93",,,,,,"Y"
"2017-01-18","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7713310740.17",,,,,,""
"2017-01-18","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"7685418061.2",,,,,,"Y"
"2017-01-18","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7574642094.64",,,,,,""
"2017-01-18","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"7221471225.36",,,,,,""
"2017-01-18","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"7110625416.18",,,,,,""
"2017-01-18","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"6925677407",,,,,,""
"2017-01-18","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"6916507506.68",,,,,,""
"2017-01-18","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"6830091700.81",,,,,,"Y"
"2017-01-18","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"6758141670.57",,,,,,""
"2017-01-18","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"6738986036.39",,,,,,"Y"
"2017-01-18","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"6702427865.3",,,,,,"Y"
"2017-01-18","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"6547846870.86",,,,,,"Y"
"2017-01-18","'3128MJZB9'","MBS","FHLMCGLD 3% 12/46","30yr",,,,,"6319222895.65",,,,,,""
"2017-01-18","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"6284535956.71",,,,,,""
"2017-01-18","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"6221165960.72",,,,,,""
"2017-01-18","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"6182051817.48",,,,,,"Y"
"2017-01-18","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"6174396902.61",,,,,,"Y"
"2017-01-18","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"6166072189.03",,,,,,"Y"
"2017-01-18","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"6001924143.91",,,,,,""
"2017-01-18","'36179SGK7'","MBS","GNMA II MORTPASS 3% 07/46","30yr",,,,,"5997611600.28",,,,,,""
"2017-01-18","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"5987704231.34",,,,,,"Y"
"2017-01-18","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"5982282065.22",,,,,,""
"2017-01-18","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"5975065025.79",,,,,,"Y"
"2017-01-18","'36179Q6P1'","MBS","GNMA II 3.5% 03/45","30yr",,,,,"5713731915.75",,,,,,""
