"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2016-06-01","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"48156915828.54",,,,,,"Y"
"2016-06-01","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"47361902317.86",,,,,,"Y"
"2016-06-01","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"43325017712.91",,,,,,"Y"
"2016-06-01","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"30007243056.19",,,,,,"Y"
"2016-06-01","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"29561261901.68",,,,,,"Y"
"2016-06-01","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"26071693920",,,,,,"Y"
"2016-06-01","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"23869122764.29",,,,,,"Y"
"2016-06-01","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"23563701947.77",,,,,,"Y"
"2016-06-01","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"22400408043.68",,,,,,"Y"
"2016-06-01","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"21575602290.73",,,,,,"Y"
"2016-06-01","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"19602671399",,,,,,"Y"
"2016-06-01","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"19258877324.31",,,,,,"Y"
"2016-06-01","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"17210248214.35",,,,,,"Y"
"2016-06-01","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"16658558911.18",,,,,,"Y"
"2016-06-01","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"16063331085.12",,,,,,"Y"
"2016-06-01","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"15968815336.74",,,,,,"Y"
"2016-06-01","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"15275537002.68",,,,,,"Y"
"2016-06-01","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"14804078296.43",,,,,,"Y"
"2016-06-01","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"14368599025.36",,,,,,"Y"
"2016-06-01","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"13761561533.14",,,,,,"Y"
"2016-06-01","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"13545433096.79",,,,,,"Y"
"2016-06-01","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"13024302962",,,,,,"Y"
"2016-06-01","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"12898341247.16",,,,,,"Y"
"2016-06-01","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"12493385282.72",,,,,,"Y"
"2016-06-01","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"12429311728.39",,,,,,"Y"
"2016-06-01","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"12162397093.17",,,,,,"Y"
"2016-06-01","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"11874492221.76",,,,,,"Y"
"2016-06-01","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"11758358289",,,,,,"Y"
"2016-06-01","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"11478748821",,,,,,"Y"
"2016-06-01","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"11376103931.42",,,,,,"Y"
"2016-06-01","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"11329726558.5",,,,,,"Y"
"2016-06-01","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"10653505610.9",,,,,,""
"2016-06-01","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"10420087458.61",,,,,,"Y"
"2016-06-01","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"10146132691.52",,,,,,"Y"
"2016-06-01","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"9813821646.66",,,,,,"Y"
"2016-06-01","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"9741081414.71",,,,,,"Y"
"2016-06-01","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"9682939716.77",,,,,,"Y"
"2016-06-01","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"8796025496.28",,,,,,"Y"
"2016-06-01","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"8345320757",,,,,,"Y"
"2016-06-01","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"8101251700.28",,,,,,""
"2016-06-01","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"8013492405.54",,,,,,""
"2016-06-01","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"7891807931.15",,,,,,""
"2016-06-01","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"7838160449.54",,,,,,"Y"
"2016-06-01","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"7829978911.55",,,,,,"Y"
"2016-06-01","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"7693387863.21",,,,,,"Y"
"2016-06-01","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"7690706154.33",,,,,,""
"2016-06-01","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"7548889986.4",,,,,,"Y"
"2016-06-01","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"7385238045.4",,,,,,"Y"
"2016-06-01","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"7112576101.51",,,,,,"Y"
"2016-06-01","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"6876870604.39",,,,,,"Y"
"2016-06-01","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"6860298861.43",,,,,,""
"2016-06-01","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"6824160796",,,,,,"Y"
"2016-06-01","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"6700823832.84",,,,,,"Y"
"2016-06-01","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"6584141575.21",,,,,,""
"2016-06-01","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"6575543331.5",,,,,,"Y"
"2016-06-01","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"6331638424.92",,,,,,""
"2016-06-01","'36179QT43'","MBS","GNMA II 3.5% 11/44","30yr",,,,,"6091485011.07",,,,,,""
"2016-06-01","'3138ETRF5'","MBS","FNMA MORTPASS 3.5% 10/45","15yr",,,,,"5926407632.4",,,,,,"Y"
"2016-06-01","'3138EQGC0'","MBS","FNMA MORTPASS 4.5% 01/41","30yr",,,,,"5879225302.34",,,,,,"Y"
"2016-06-01","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"5845295550.64",,,,,,"Y"
"2016-06-01","'36179RF95'","MBS","GNMA II 3.5% 06/45","30yr",,,,,"5786049596.67",,,,,,""
"2016-06-01","'36179RD71'","MBS","GNMA II 3.5% 05/45","30yr",,,,,"5777708030.16",,,,,,""
"2016-06-01","'36179MSW1'","MBS","GNMA II MORTPASS 3% 11/42","30yr",,,,,"5713931703.46",,,,,,""
"2016-06-01","'36179QYS4'","MBS","GNMA II 3.5% 01/45","30yr",,,,,"5603685179.55",,,,,,""
"2016-06-01","'3138EQF98'","MBS","FNMA MORTPASS 4% 01/41","30yr",,,,,"5579406104.8",,,,,,"Y"
"2016-06-01","'3138EQV90'","MBS","FNMA MORTPASS 4% 09/42","30yr",,,,,"5549811695.55",,,,,,"Y"
