"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2018-05-23","'3140J8GV9'","MBS","FNMA MORTPASS 3% 07/47","30yr",,,,,"76240990142",,,,,,"Y"
"2018-05-23","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"53092527328.49",,,,,,"Y"
"2018-05-23","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"37551915903.5",,,,,,"Y"
"2018-05-23","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"37248590367.78",,,,,,"Y"
"2018-05-23","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"35481919165.85",,,,,,"Y"
"2018-05-23","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"33422960992.84",,,,,,"Y"
"2018-05-23","'3140J8GW7'","MBS","FNMA MORTPASS 3.5% 10/47","30yr",,,,,"31247993657",,,,,,"Y"
"2018-05-23","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"26881464390.21",,,,,,"Y"
"2018-05-23","'3140J8BU6'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"24568841797.89",,,,,,"Y"
"2018-05-23","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"23105108604.75",,,,,,"Y"
"2018-05-23","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"22972862874.71",,,,,,"Y"
"2018-05-23","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"20409057198.83",,,,,,"Y"
"2018-05-23","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"18179749152.12",,,,,,"Y"
"2018-05-23","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"18165420718.67",,,,,,"Y"
"2018-05-23","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"16947976957.09",,,,,,"Y"
"2018-05-23","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"16697784052.54",,,,,,"Y"
"2018-05-23","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"15887487892.3",,,,,,"Y"
"2018-05-23","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"13880055108.33",,,,,,"Y"
"2018-05-23","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12385842474.49",,,,,,""
"2018-05-23","'3140J8BW2'","MBS","FNMA MORTPASS 2.5% 02/32","15yr",,,,,"11816414256.5",,,,,,"Y"
"2018-05-23","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"11781805115.66",,,,,,"Y"
"2018-05-23","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"11042049645.21",,,,,,"Y"
"2018-05-23","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"10644857338.59",,,,,,"Y"
"2018-05-23","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"10529502769.09",,,,,,"Y"
"2018-05-23","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"10236443992.44",,,,,,"Y"
"2018-05-23","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"10198503860.39",,,,,,"Y"
"2018-05-23","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"9970286175.86",,,,,,"Y"
"2018-05-23","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"9703227514.03",,,,,,"Y"
"2018-05-23","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"9454930133.75",,,,,,"Y"
"2018-05-23","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"9323454438.25",,,,,,"Y"
"2018-05-23","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"9259995474.85",,,,,,"Y"
"2018-05-23","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"9185786320.39",,,,,,"Y"
"2018-05-23","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9069550629.59",,,,,,"Y"
"2018-05-23","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"8912218654.86",,,,,,""
