"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-05-17","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"42159401589.94",,,,,,"Y"
"2017-05-17","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"41804904791.12",,,,,,"Y"
"2017-05-17","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"37762557577.29",,,,,,"Y"
"2017-05-17","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"25964210545.77",,,,,,"Y"
"2017-05-17","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"25803767785.4",,,,,,"Y"
"2017-05-17","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"22714945445",,,,,,"Y"
"2017-05-17","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"21164045857.39",,,,,,"Y"
"2017-05-17","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"20395610626.25",,,,,,"Y"
"2017-05-17","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"19585060638.69",,,,,,"Y"
"2017-05-17","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"18799408179.25",,,,,,"Y"
"2017-05-17","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"18348249755.9",,,,,,"Y"
"2017-05-17","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"16226840469.88",,,,,,"Y"
"2017-05-17","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"14315206143.67",,,,,,"Y"
"2017-05-17","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13329078747.95",,,,,,""
"2017-05-17","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"13142824526.31",,,,,,"Y"
"2017-05-17","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"12555519003.13",,,,,,"Y"
"2017-05-17","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"12435348510.53",,,,,,"Y"
"2017-05-17","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"12204907739.19",,,,,,"Y"
"2017-05-17","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11812308387.08",,,,,,"Y"
"2017-05-17","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11811506275.06",,,,,,"Y"
"2017-05-17","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"11657109867.92",,,,,,"Y"
"2017-05-17","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"11315970173.24",,,,,,"Y"
"2017-05-17","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10596761026.64",,,,,,"Y"
"2017-05-17","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10571915450.73",,,,,,"Y"
