"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2016-10-05","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"45615436198.18",,,,,,"Y"
"2016-10-05","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"45064231496.8",,,,,,"Y"
"2016-10-05","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"40981285582.06",,,,,,"Y"
"2016-10-05","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"28408196983.63",,,,,,"Y"
"2016-10-05","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"28101496210.95",,,,,,"Y"
"2016-10-05","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"24044215345.74",,,,,,"Y"
"2016-10-05","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"22226014446.8",,,,,,"Y"
"2016-10-05","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"22056788345.81",,,,,,"Y"
"2016-10-05","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"20732504139.04",,,,,,"Y"
"2016-10-05","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"20487948009.83",,,,,,"Y"
"2016-10-05","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"18192081003.55",,,,,,"Y"
"2016-10-05","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"17187002109.65",,,,,,"Y"
"2016-10-05","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"15196586604.71",,,,,,"Y"
"2016-10-05","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"15190011489.55",,,,,,"Y"
"2016-10-05","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"14544306460.49",,,,,,"Y"
"2016-10-05","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"14166523771.34",,,,,,"Y"
"2016-10-05","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"13792438571.69",,,,,,"Y"
"2016-10-05","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"13765562282.17",,,,,,"Y"
"2016-10-05","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"13564654493.59",,,,,,"Y"
"2016-10-05","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"13311171408.23",,,,,,"Y"
"2016-10-05","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"12366038528.75",,,,,,"Y"
"2016-10-05","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"12024999108.95",,,,,,"Y"
"2016-10-05","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"11961747790.59",,,,,,"Y"
"2016-10-05","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"11618494375.38",,,,,,"Y"
"2016-10-05","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"11571192160.46",,,,,,"Y"
"2016-10-05","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"11532625739.17",,,,,,"Y"
"2016-10-05","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"11380234766.73",,,,,,"Y"
"2016-10-05","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"11104694454.85",,,,,,"Y"
"2016-10-05","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"10599540388.96",,,,,,"Y"
"2016-10-05","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"10567792308.51",,,,,,"Y"
