"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-09-20","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"40473681420.23",,,,,,"Y"
"2017-09-20","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"40154709394.22",,,,,,"Y"
"2017-09-20","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"36131061822.35",,,,,,"Y"
"2017-09-20","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"24849974782.24",,,,,,"Y"
"2017-09-20","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"24698535148.61",,,,,,"Y"
"2017-09-20","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"21845898016.02",,,,,,"Y"
"2017-09-20","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"20195541089.57",,,,,,"Y"
"2017-09-20","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"19582322802.57",,,,,,"Y"
"2017-09-20","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"18614337681.47",,,,,,"Y"
"2017-09-20","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"17971529122.78",,,,,,"Y"
"2017-09-20","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"17425130464.28",,,,,,"Y"
"2017-09-20","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"15415146774.47",,,,,,"Y"
"2017-09-20","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"13390337309.53",,,,,,"Y"
"2017-09-20","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12920728827.68",,,,,,""
"2017-09-20","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12412974579.11",,,,,,"Y"
"2017-09-20","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"11767275479.12",,,,,,"Y"
"2017-09-20","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"11679919320.24",,,,,,"Y"
"2017-09-20","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11636718614.4",,,,,,"Y"
"2017-09-20","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11220470081.76",,,,,,"Y"
"2017-09-20","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11039270199.71",,,,,,"Y"
"2017-09-20","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"10992877931.48",,,,,,"Y"
"2017-09-20","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10580972284.56",,,,,,"Y"
"2017-09-20","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10200257637.95",,,,,,"Y"
"2017-09-20","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10031999857",,,,,,"Y"
"2017-09-20","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10026615511.28",,,,,,"Y"
"2017-09-20","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"9882474632.91",,,,,,"Y"
"2017-09-20","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9722742718.41",,,,,,"Y"
"2017-09-20","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9269376653.77",,,,,,"Y"
