"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-11-15","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"39644721881.14",,,,,,"Y"
"2017-11-15","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"39315844413.05",,,,,,"Y"
"2017-11-15","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"35353397939.86",,,,,,"Y"
"2017-11-15","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"24371052522.41",,,,,,"Y"
"2017-11-15","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"24214470088.33",,,,,,"Y"
"2017-11-15","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"21453334759.32",,,,,,"Y"
"2017-11-15","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"19600522722.97",,,,,,"Y"
"2017-11-15","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"19172427365.61",,,,,,"Y"
"2017-11-15","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"18147633824.46",,,,,,"Y"
"2017-11-15","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"17612576615.94",,,,,,"Y"
"2017-11-15","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"16999884420.7",,,,,,"Y"
"2017-11-15","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"14969491997.84",,,,,,"Y"
"2017-11-15","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13111313590.49",,,,,,""
"2017-11-15","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"12922368741.74",,,,,,"Y"
"2017-11-15","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12021733164.56",,,,,,"Y"
"2017-11-15","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"11401411447",,,,,,"Y"
"2017-11-15","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11336957752.94",,,,,,"Y"
"2017-11-15","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"11254990071.69",,,,,,"Y"
"2017-11-15","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"10939859683.6",,,,,,"Y"
"2017-11-15","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"10688680909.1",,,,,,"Y"
"2017-11-15","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"10655003697.82",,,,,,"Y"
"2017-11-15","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10221593259.69",,,,,,"Y"
"2017-11-15","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"9981697417.02",,,,,,"Y"
"2017-11-15","'3140J57J2'","MBS","FNMA MORTPASS 4% 02/47","30yr",,,,,"9897228388.99",,,,,,"Y"
"2017-11-15","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"9812245456.9",,,,,,"Y"
"2017-11-15","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"9782913008.6",,,,,,"Y"
"2017-11-15","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"9600732005.11",,,,,,"Y"
"2017-11-15","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9532960111.2",,,,,,"Y"
"2017-11-15","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9304872965.22",,,,,,""
"2017-11-15","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8994838952.16",,,,,,"Y"
"2017-11-15","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"8901163112.78",,,,,,"Y"
"2017-11-15","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8683552249.02",,,,,,""
"2017-11-15","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"8640384338.49",,,,,,"Y"
"2017-11-15","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"8532999202.75",,,,,,"Y"
"2017-11-15","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"8109711888.61",,,,,,""
"2017-11-15","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"7908076427.47",,,,,,"Y"
"2017-11-15","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"7896353512.7",,,,,,"Y"
"2017-11-15","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"7762612351.35",,,,,,"Y"
"2017-11-15","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"7750102911.65",,,,,,"Y"
"2017-11-15","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"7700601293.56",,,,,,"Y"
"2017-11-15","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"7658169471.14",,,,,,"Y"
"2017-11-15","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"7438399300.39",,,,,,"Y"
"2017-11-15","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"7417269897.74",,,,,,"Y"
"2017-11-15","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7352219731.9",,,,,,""
"2017-11-15","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7177441103.09",,,,,,""
"2017-11-15","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"7018980086.67",,,,,,"Y"
"2017-11-15","'36179SGK7'","MBS","GNMA II MORTPASS 3% 07/46","30yr",,,,,"6755704913.34",,,,,,""
"2017-11-15","'3140J52N8'","MBS","FNMA MORTPASS 3% 09/31","15yr",,,,,"6721674636.5",,,,,,"Y"
"2017-11-15","'3140J5G29'","MBS","FNMA MORTPASS 3% 03/46","30yr",,,,,"6672655846.25",,,,,,"Y"
"2017-11-15","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"6567431552.55",,,,,,"Y"
"2017-11-15","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"6513411266.45",,,,,,"Y"
"2017-11-15","'31335BKE5'","MBS","FHLMCGLD 4% 08/46","30yr",,,,,"6456207223.28",,,,,,"Y"
"2017-11-15","'3128MJZB9'","MBS","FHLMCGLD 3% 12/46","30yr",,,,,"6422644862.05",,,,,,""
"2017-11-15","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"6146381773.93",,,,,,""
"2017-11-15","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"6116083498.15",,,,,,""
"2017-11-15","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"5997968521.48",,,,,,"Y"
"2017-11-15","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"5978186690.08",,,,,,""
"2017-11-15","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"5888052427.64",,,,,,""
"2017-11-15","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"5845868681.6",,,,,,"Y"
"2017-11-15","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"5841250170.54",,,,,,""
"2017-11-15","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"5805398279.34",,,,,,"Y"
"2017-11-15","'3128MJZF0'","MBS","FHLMCGLD 3% 01/47","30yr",,,,,"5776131173.99",,,,,,""
"2017-11-15","'3140J6GK7'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"5736492990.92",,,,,,""
"2017-11-15","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"5464017240.66",,,,,,"Y"
"2017-11-15","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"5458184603.72",,,,,,"Y"
"2017-11-15","'36179SNU7'","MBS","GNMA II MORTPASS 3% 10/46","30yr",,,,,"5323033588.93",,,,,,""
"2017-11-15","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"5280846126.78",,,,,,"Y"
"2017-11-15","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"5223153100.02",,,,,,"Y"
"2017-11-15","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"5215614032.9",,,,,,""
"2017-11-15","'3128MFDA3'","MBS","FHLMCGLD 2.5% 02/31","15yr",,,,,"5209767466.33",,,,,,"Y"
"2017-11-15","'3128MFGD4'","MBS","FEDERAL HOME 3% 05/31","15yr",,,,,"5184633553.55",,,,,,"Y"
"2017-11-15","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"5184464085.96",,,,,,""
"2017-11-15","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"5139444666.41",,,,,,"Y"
"2017-11-15","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"5126660871.6",,,,,,""
"2017-11-15","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"5085058368.77",,,,,,"Y"
"2017-11-15","'36179SGL5'","MBS","GNMA II 3.5% 07/46","30yr",,,,,"5057469581.02",,,,,,""
"2017-11-15","'36179SLS4'","MBS","GNMA II 3.5% 09/46","30yr",,,,,"4966410346.8",,,,,,""
"2017-11-15","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"4917128972.35",,,,,,"Y"
"2017-11-15","'36179RNW5'","MBS","GNMA II 3.5% 09/45","30yr",,,,,"4888942500.32",,,,,,""
"2017-11-15","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"4888790626.93",,,,,,"Y"
"2017-11-15","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"4857564579.93",,,,,,"Y"
"2017-11-15","'36179RJE0'","MBS","GNMA II 3.5% 07/45","30yr",,,,,"4772668655.53",,,,,,""
"2017-11-15","'36179Q6P1'","MBS","GNMA II 3.5% 03/45","30yr",,,,,"4690326834.42",,,,,,""
"2017-11-15","'36179RXD6'","MBS","GNMA II 3.5% 01/46","30yr",,,,,"4683784956.81",,,,,,""
"2017-11-15","'36179RZT9'","MBS","GNMA II 3.5% 02/46","30yr",,,,,"4575908246.01",,,,,,""
"2017-11-15","'3128MJYM6'","MBS","FHLMCGLD 3% 08/46","30yr",,,,,"4547032925.64",,,,,,""
"2017-11-15","'36179S2P1'","MBS","GNMA II 3.5% 04/47","30yr",,,,,"4530661440.97",,,,,,""
"2017-11-15","'31418CEF7'","MBS","FNMA MORTPASS 3% 12/46","30yr",,,,,"4496695545.16",,,,,,""
"2017-11-15","'3128MEY39'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"4377469584.26",,,,,,"Y"
"2017-11-15","'36179RD71'","MBS","GNMA II 3.5% 05/45","30yr",,,,,"4362943744.72",,,,,,""
"2017-11-15","'36179MSW1'","MBS","GNMA II MORTPASS 3% 11/42","30yr",,,,,"4299204756.62",,,,,,""
"2017-11-15","'3138ETRJ7'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"4243107695.01",,,,,,"Y"
"2017-11-15","'3138ETRF5'","MBS","FNMA MORTPASS 3.5% 10/45","30yr",,,,,"4234025335.09",,,,,,"Y"
"2017-11-15","'36179RF95'","MBS","GNMA II 3.5% 06/45","30yr",,,,,"4194308551.18",,,,,,""
