"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2018-03-14","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"38208845153.94",,,,,,"Y"
"2018-03-14","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"37908937403.32",,,,,,"Y"
"2018-03-14","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"36680383744.29",,,,,,"Y"
"2018-03-14","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"34010435181.82",,,,,,"Y"
"2018-03-14","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"23701903733.19",,,,,,"Y"
"2018-03-14","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"23584998688.11",,,,,,"Y"
"2018-03-14","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"20915580979.1",,,,,,"Y"
"2018-03-14","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"18600852634.39",,,,,,"Y"
"2018-03-14","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"18471989992.4",,,,,,"Y"
"2018-03-14","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"17307933653.53",,,,,,"Y"
"2018-03-14","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"17154553403.78",,,,,,"Y"
"2018-03-14","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"16226090356.1",,,,,,"Y"
"2018-03-14","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"14197489987.49",,,,,,"Y"
"2018-03-14","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12758076851.78",,,,,,""
"2018-03-14","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"12103181994.09",,,,,,"Y"
"2018-03-14","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"11333807812.58",,,,,,"Y"
"2018-03-14","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"10848827157.75",,,,,,"Y"
"2018-03-14","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"10769962892.83",,,,,,"Y"
"2018-03-14","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"10512841649.3",,,,,,"Y"
"2018-03-14","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"10439932251.2",,,,,,"Y"
"2018-03-14","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"10293713299.52",,,,,,"Y"
"2018-03-14","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"9975472423.11",,,,,,"Y"
"2018-03-14","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"9623225722.43",,,,,,"Y"
"2018-03-14","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"9580330299.14",,,,,,"Y"
"2018-03-14","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"9467084224.67",,,,,,"Y"
"2018-03-14","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"9425892264.53",,,,,,"Y"
"2018-03-14","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9297517447.09",,,,,,"Y"
"2018-03-14","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9193451387.93",,,,,,""
"2018-03-14","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"9103227053.68",,,,,,"Y"
"2018-03-14","'3140J57J2'","MBS","FNMA MORTPASS 4% 02/47","30yr",,,,,"9095668164.66",,,,,,"Y"
"2018-03-14","'36179TCX1'","MBS","GNMA II 3.5% 07/47","30yr",,,,,"8651862380.41",,,,,,""
"2018-03-14","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8503057846.62",,,,,,"Y"
"2018-03-14","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8419467407.31",,,,,,""
"2018-03-14","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"8371864923.74",,,,,,"Y"
"2018-03-14","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"8311893238.78",,,,,,"Y"
"2018-03-14","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"8148156968.59",,,,,,"Y"
"2018-03-14","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"7683660523.9",,,,,,""
"2018-03-14","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"7560905354.99",,,,,,"Y"
"2018-03-14","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"7394001655.84",,,,,,"Y"
"2018-03-14","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"7369033872.68",,,,,,"Y"
"2018-03-14","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"7365865366.84",,,,,,"Y"
"2018-03-14","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"7350241837.33",,,,,,"Y"
"2018-03-14","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"7240260555.82",,,,,,"Y"
"2018-03-14","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7226756347.27",,,,,,""
"2018-03-14","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"6978144565.62",,,,,,"Y"
"2018-03-14","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"6974436060.65",,,,,,"Y"
"2018-03-14","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"6864772885.82",,,,,,""
"2018-03-14","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"6602931716.9",,,,,,"Y"
"2018-03-14","'36179SGK7'","MBS","GNMA II MORTPASS 3% 07/46","30yr",,,,,"6468093259.83",,,,,,""
"2018-03-14","'3140J5G29'","MBS","FNMA MORTPASS 3% 03/46","30yr",,,,,"6456354422.54",,,,,,"Y"
"2018-03-14","'3140J52N8'","MBS","FNMA MORTPASS 3% 09/31","15yr",,,,,"6321194567.84",,,,,,"Y"
"2018-03-14","'3128MJZB9'","MBS","FHLMCGLD 3% 12/46","30yr",,,,,"6302960621.3",,,,,,""
"2018-03-14","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"6200082947.64",,,,,,"Y"
"2018-03-14","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"6149347828.03",,,,,,"Y"
"2018-03-14","'31335BKE5'","MBS","FHLMCGLD 4% 08/46","30yr",,,,,"6139653079.54",,,,,,"Y"
"2018-03-14","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"5836494982.5",,,,,,""
"2018-03-14","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"5789407153.27",,,,,,""
"2018-03-14","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"5734907275.46",,,,,,""
"2018-03-14","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"5719232155.92",,,,,,"Y"
"2018-03-14","'3128MJZF0'","MBS","FHLMCGLD 3% 01/47","30yr",,,,,"5683118431.96",,,,,,""
"2018-03-14","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"5673392896.38",,,,,,"Y"
"2018-03-14","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"5657474282.94",,,,,,""
"2018-03-14","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"5530237694.62",,,,,,""
"2018-03-14","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"5459640170.27",,,,,,"Y"
"2018-03-14","'3140J6GK7'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"5437322055.69",,,,,,""
"2018-03-14","'36179S5L7'","MBS","GNMA II 3.5% 05/47","30yr",,,,,"5382896910.98",,,,,,""
"2018-03-14","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"5278120832.06",,,,,,"Y"
"2018-03-14","'36179SNU7'","MBS","GNMA II MORTPASS 3% 10/46","30yr",,,,,"5191726993.25",,,,,,""
"2018-03-14","'36179TAK1'","MBS","GNMA II 3.5% 06/47","30yr",,,,,"5086535480.57",,,,,,""
"2018-03-14","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"5041847900.79",,,,,,"Y"
"2018-03-14","'3128MFDA3'","MBS","FHLMCGLD 2.5% 02/31","15yr",,,,,"5014086980.31",,,,,,"Y"
"2018-03-14","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"5001730690.47",,,,,,"Y"
"2018-03-14","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"4991172969.88",,,,,,"Y"
"2018-03-14","'3128MFGD4'","MBS","FHLMCGLD 3% 05/31","15yr",,,,,"4957386272.17",,,,,,"Y"
"2018-03-14","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"4929715405.84",,,,,,""
"2018-03-14","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"4912832779.85",,,,,,"Y"
"2018-03-14","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"4902443648.34",,,,,,""
"2018-03-14","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"4849125041.64",,,,,,"Y"
"2018-03-14","'36179SGL5'","MBS","GNMA II 3.5% 07/46","30yr",,,,,"4763394708.56",,,,,,""
"2018-03-14","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"4762242399.9",,,,,,"Y"
"2018-03-14","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"4714501583.01",,,,,,""
"2018-03-14","'36179SLS4'","MBS","GNMA II 3.5% 09/46","30yr",,,,,"4693416906.32",,,,,,""
"2018-03-14","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"4685092061.95",,,,,,"Y"
"2018-03-14","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"4630655217.93",,,,,,"Y"
"2018-03-14","'36179S2P1'","MBS","GNMA II 3.5% 04/47","30yr",,,,,"4614668933.36",,,,,,""
"2018-03-14","'36179RNW5'","MBS","GNMA II 3.5% 09/45","30yr",,,,,"4575486507.09",,,,,,""
"2018-03-14","'31418CEF7'","MBS","FNMA MORTPASS 3% 12/46","30yr",,,,,"4452020296.43",,,,,,""
"2018-03-14","'3128MJYM6'","MBS","FHLMCGLD 3% 08/46","30yr",,,,,"4442551443.27",,,,,,""
