"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-10-28","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"46060566482.3",,,,,,"Y"
"2020-10-28","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"32464577064.75",,,,,,"Y"
"2020-10-28","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"31252125349.05",,,,,,""
"2020-10-28","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"24855903343.55",,,,,,"Y"
"2020-10-28","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"24550041111.51",,,,,,"Y"
"2020-10-28","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"23301938482.36",,,,,,""
"2020-10-28","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"22680567055.57",,,,,,""
"2020-10-28","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"22124615856.32",,,,,,""
"2020-10-28","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"21815370412.16",,,,,,"Y"
"2020-10-28","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"20931453614.29",,,,,,""
"2020-10-28","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"19889398461.34",,,,,,""
"2020-10-28","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"19696481441.65",,,,,,""
"2020-10-28","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"19533232528.63",,,,,,""
"2020-10-28","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"19397040378.4",,,,,,""
"2020-10-28","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"19277105894.12",,,,,,""
"2020-10-28","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"19257870846.66",,,,,,""
