,Date,Current Face Value
161,2015-06-17,1740877141501.1902
162,2015-06-24,1746393088225.0002
163,2015-07-01,1732060388572.13
164,2015-07-08,1732060399996.93
165,2015-07-15,1743807393863.32
166,2015-07-22,1749460353171.4897
167,2015-07-29,1734833937704.1501
168,2015-08-05,1734860936102.67
169,2015-08-12,1734883917339.6501
170,2015-08-19,1748074695820.1902
171,2015-08-26,1736611827701.36
172,2015-09-02,1736683816617.9102
173,2015-09-09,1736705803586.2998
174,2015-09-16,1745119434095.97
175,2015-09-23,1752619040278.7397
176,2015-09-30,1741233359690.37
177,2015-10-07,1741249359414.6099
178,2015-10-14,1756488265834.1597
179,2015-10-21,1755196961971.14
180,2015-10-28,1744091371418.4102
181,2015-11-04,1744102371055.0696
182,2015-11-11,0.0
183,2015-11-18,1753503188165.0798
184,2015-11-25,1744789362596.2102
185,2015-12-02,1744789362155.82
186,2015-12-09,1744796362810.4905
187,2015-12-16,1753156715943.2397
188,2015-12-23,1757757418125.4302
189,2015-12-30,1747466705997.4902
190,2016-01-06,1747466705144.7102
191,2016-01-13,1760601589348.92
192,2016-01-20,1750275340881.7505
193,2016-01-27,1744179049965.74
194,2016-02-03,1744179049939.1008
195,2016-02-10,1744180049838.6707
196,2016-02-17,1756771272548.6802
197,2016-02-24,1760917743105.2202
198,2016-03-02,1751828939671.2502
199,2016-03-09,1751829939995.2698
200,2016-03-16,1758082299865.0598
201,2016-03-23,1762933331310.38
202,2016-03-30,1753082261118.2097
203,2016-04-06,1753087260941.47
204,2016-04-13,1766123100463.8298
205,2016-04-20,1759617069747.2603
206,2016-04-27,1744826099882.82
207,2016-05-04,1744827241571.2998
208,2016-05-11,1744827241573.7495
209,2016-05-18,1754732796070.9797
210,2016-05-25,1743074044842.05
211,2016-06-01,1743075505995.39
212,2016-06-08,1743080507480.9905
213,2016-06-15,1751324499794.4998
214,2016-06-22,1758508040720.6204
215,2016-06-29,1743541094193.0996
216,2016-07-06,1743541094044.2302
217,2016-07-13,1743541094047.87
218,2016-07-20,1757254124708.16
219,2016-07-27,1741090786630.1802
220,2016-08-03,1741103742860.1
221,2016-08-10,1741108742818.78
222,2016-08-17,1753354220052.8203
223,2016-08-24,1759019797910.08
224,2016-08-31,1743981905693.0603
225,2016-09-07,1743983905465.1802
226,2016-09-14,1763472848401.79
227,2016-09-21,1757342519617.0103
228,2016-09-28,1736875094977.7402
229,2016-10-05,1736877019255.29
230,2016-10-12,1736877019256.38
231,2016-10-19,1750733273892.7402
232,2016-10-26,1735840941775.4001
233,2016-11-02,1735846939908.8196
234,2016-11-09,1735847940005.8499
235,2016-11-16,1747790783047.4802
236,2016-11-23,1759036112556.0103
237,2016-11-30,1740673982153.72
238,2016-12-07,1740676976759.69
239,2016-12-14,1760415249730.29
240,2016-12-21,1758481058295.1895
241,2016-12-28,1741386613674.18
242,2017-01-04,1741390613643.44
243,2017-01-11,1741397613043.4197
244,2017-01-18,1750940147872.0098
245,2017-01-25,1744593631743.2197
246,2017-02-01,1744635630443.8599
247,2017-02-08,1744641630489.8098
248,2017-02-15,1759700431137.5398
249,2017-02-22,1773621269895.8796
250,2017-03-01,1763185753790.7896
251,2017-03-08,1763190753943.0996
252,2017-03-15,1771184259176.7397
253,2017-03-22,1777644658905.7896
254,2017-03-29,1769118117294.26
255,2017-04-05,1769122116962.5305
256,2017-04-12,1781090838932.6301
257,2017-04-19,1776917214329.3098
258,2017-04-26,1769013456981.2698
259,2017-05-03,1769015440532.5198
260,2017-05-10,1769016440433.2595
261,2017-05-17,1778108957808.8398
262,2017-05-24,1780382952955.4197
263,2017-05-31,1770957619567.1301
264,2017-06-07,1770957619666.14
265,2017-06-14,1782601318272.4897
266,2017-06-21,1781099147797.3596
267,2017-06-28,1770279546613.7898
268,2017-07-05,1770280544190.7402
269,2017-07-12,1770280544190.21
270,2017-07-19,1779394429814.8496
271,2017-07-26,1768998523751.6501
272,2017-08-02,1769025522432.11
273,2017-08-09,1769028522430.42
274,2017-08-16,1777974928527.8901
275,2017-08-23,1778699225845.2693
276,2017-08-30,1767553334549.1802
277,2017-09-06,1767553305585.36
278,2017-09-13,1782346087806.7498
279,2017-09-20,1770523730146.9502
280,2017-09-27,1768159956412.4097
281,2017-10-04,1768159949504.3801
282,2017-10-11,1768159949462.43
283,2017-10-18,1777945276557.6907
284,2017-10-25,1770563435669.2097
285,2017-11-01,1770630387726.8198
286,2017-11-08,1770630387380.3198
287,2017-11-15,1775854354390.65
288,2017-11-22,1778682990643.3997
289,2017-11-29,1767094527366.3704
290,2017-12-06,1767095527424.1304
291,2017-12-13,1780236530210.2996
292,2017-12-20,1775451162635.68
293,2017-12-27,1764925787231.5002
294,2018-01-03,1764928787076.4001
295,2018-01-10,1764929787073.5903
296,2018-01-17,1770349192894.4402
297,2018-01-24,1771054315394.21
298,2018-01-31,1760743451391.1997
299,2018-02-07,1760743451388.0698
300,2018-02-14,1771926571250.5603
301,2018-02-21,1769298123875.2097
302,2018-02-28,1759971610039.4402
303,2018-03-07,1759990610143.4795
304,2018-03-14,1768587573620.4202
305,2018-03-21,1763170908839.7502
306,2018-03-28,1754368060601.34
307,2018-04-04,1754368060609.6604
308,2018-04-11,1754369060609.2305
309,2018-04-18,1756290288987.4004
310,2018-04-25,1744967199257.2102
311,2018-05-02,1744972197738.5605
312,2018-05-09,1744972197838.7803
313,2018-05-16,1745514466258.7996
314,2018-05-23,1744179455728.2297
315,2018-05-30,1734587848955.73
316,2018-06-06,1734592848872.49
317,2018-06-13,1739733452912.21
318,2018-06-20,1731488147026.2498
319,2018-06-27,1721271187457.3303
320,2018-07-04,1721272186153.7102
321,2018-07-11,1721275186144.56
322,2018-07-18,1722291124000.7102
323,2018-07-25,1709528022164.9897
324,2018-08-01,1709544022364.0498
325,2018-08-08,1709545022278.44
326,2018-08-15,1708187464939.9998
327,2018-08-22,1706730642370.4602
328,2018-08-29,1697006288219.81
329,2018-09-05,1697006288218.83
330,2018-09-12,1697016288295.3699
331,2018-09-19,1695223409017.3005
332,2018-09-26,1681763242730.3596
333,2018-10-03,1681775242638.4397
334,2018-10-10,1681778242541.43
335,2018-10-17,1680109056071.77
336,2018-10-24,1676956054072.54
