"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-07-19","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"41369020262.4",,,,,,"Y"
"2017-07-19","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"41018309936.58",,,,,,"Y"
"2017-07-19","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"36981820357.13",,,,,,"Y"
"2017-07-19","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"25399621248.37",,,,,,"Y"
"2017-07-19","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"25241519109.12",,,,,,"Y"
"2017-07-19","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"22272703286.85",,,,,,"Y"
"2017-07-19","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"20735890503.34",,,,,,"Y"
"2017-07-19","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"20014636279.97",,,,,,"Y"
"2017-07-19","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"19127711731.06",,,,,,"Y"
"2017-07-19","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"18378955461.4",,,,,,"Y"
"2017-07-19","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"17912161961.52",,,,,,"Y"
"2017-07-19","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"15851005900.17",,,,,,"Y"
"2017-07-19","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"13877239980.76",,,,,,"Y"
"2017-07-19","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13184676917.55",,,,,,""
"2017-07-19","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12805318791.04",,,,,,"Y"
"2017-07-19","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"12133817858.07",,,,,,"Y"
"2017-07-19","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"12132439191.75",,,,,,"Y"
"2017-07-19","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11938152321.56",,,,,,"Y"
"2017-07-19","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11523938850.86",,,,,,"Y"
"2017-07-19","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11430741661.46",,,,,,"Y"
"2017-07-19","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"11336108522.07",,,,,,"Y"
"2017-07-19","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10964705746.12",,,,,,"Y"
"2017-07-19","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10413259279.37",,,,,,"Y"
"2017-07-19","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10297018033.64",,,,,,"Y"
"2017-07-19","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10270473345.4",,,,,,"Y"
