"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-09-22","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"35261254922.19",,,,,,""
"2021-09-22","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"32930178168.59",,,,,,""
"2021-09-22","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"29961288089.46",,,,,,""
"2021-09-22","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"29115560176.42",,,,,,""
"2021-09-22","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"28942815196.13",,,,,,""
"2021-09-22","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"27773994979.33",,,,,,"Y"
"2021-09-22","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"27429977789.2",,,,,,""
"2021-09-22","'31418DYX4'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"27010946420.25",,,,,,""
"2021-09-22","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"25603367249.19",,,,,,""
"2021-09-22","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25571208525.99",,,,,,""
"2021-09-22","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"23911117192.29",,,,,,""
"2021-09-22","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"22184706664.08",,,,,,""
"2021-09-22","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"21736464694.75",,,,,,""
"2021-09-22","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"21397345392.86",,,,,,""
"2021-09-22","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"21087040908.69",,,,,,""
"2021-09-22","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"21056430042.17",,,,,,""
"2021-09-22","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"20930433453.11",,,,,,""
"2021-09-22","'31418DZV7'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"20356971613.17",,,,,,""
"2021-09-22","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20177154594.61",,,,,,""
