"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-11-25","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"43301780154.73",,,,,,"Y"
"2020-11-25","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"30582765545.6",,,,,,"Y"
"2020-11-25","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"30432127736.24",,,,,,""
"2020-11-25","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"23823682086.48",,,,,,"Y"
"2020-11-25","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"23382980558.8",,,,,,"Y"
"2020-11-25","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"23080945111.48",,,,,,""
"2020-11-25","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"22347199630.89",,,,,,""
"2020-11-25","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"22025068033.48",,,,,,""
"2020-11-25","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"21625625462.31",,,,,,""
"2020-11-25","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"21031956960.58",,,,,,""
"2020-11-25","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"20895083869.51",,,,,,""
"2020-11-25","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"20827931094.3",,,,,,"Y"
"2020-11-25","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20313878348.63",,,,,,""
"2020-11-25","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"20073468263.06",,,,,,""
"2020-11-25","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"20020396760.45",,,,,,""
"2020-11-25","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"19269047977",,,,,,""
"2020-11-25","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"19240150580.08",,,,,,""
"2020-11-25","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"19163804043.41",,,,,,""
"2020-11-25","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"18007255539.89",,,,,,"Y"
"2020-11-25","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"16731107990.6",,,,,,""
"2020-11-25","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"15569640648.39",,,,,,""
"2020-11-25","'36179VKL3'","MBS","GNMA II MORTPASS 3% 04/50","30yr",,,,,"15333817343.52",,,,,,""
"2020-11-25","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"15127662134.22",,,,,,"Y"
"2020-11-25","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"14818146402.81",,,,,,"Y"
"2020-11-25","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"14650627789.11",,,,,,""
"2020-11-25","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"14463739205.54",,,,,,"Y"
"2020-11-25","'31418DSJ2'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"14216546051.68",,,,,,""
"2020-11-25","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"13640583803.84",,,,,,"Y"
"2020-11-25","'31335CJN5'","MBS","FHLMCGLD 3.5% 01/48","30yr",,,,,"12435058152.19",,,,,,"Y"
"2020-11-25","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"12125299826.68",,,,,,"Y"
"2020-11-25","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"11467015777.37",,,,,,"Y"
"2020-11-25","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"11243482562",,,,,,""
"2020-11-25","'3132DV7C3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"11223852681.38",,,,,,""
