"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2020-10-14","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"48712870830.99",,,,,,"Y"
"2020-10-14","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"34276291414.79",,,,,,"Y"
"2020-10-14","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"31674851055.65",,,,,,""
"2020-10-14","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"25832429627.22",,,,,,"Y"
"2020-10-14","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"25649007309.04",,,,,,"Y"
"2020-10-14","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"23913879586.28",,,,,,""
"2020-10-14","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"23374689891.2",,,,,,""
"2020-10-14","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"22708826888.63",,,,,,"Y"
"2020-10-14","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"22186639377.91",,,,,,""
"2020-10-14","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"21107580902.59",,,,,,""
"2020-10-14","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"20266704660.5",,,,,,"Y"
"2020-10-14","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"19962230581.86",,,,,,""
"2020-10-14","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"19709696565.14",,,,,,""
"2020-10-14","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"19552935635.46",,,,,,""
"2020-10-14","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"19482031568.95",,,,,,""
"2020-10-14","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"19251101171.91",,,,,,""
"2020-10-14","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"18995005279",,,,,,""
"2020-10-14","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"17479368220.76",,,,,,""
