"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2019-09-04","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"66352938560.23",,,,,,"Y"
"2019-09-04","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"46491069768.91",,,,,,"Y"
"2019-09-04","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"32490619062.23",,,,,,"Y"
"2019-09-04","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"32194272157.57",,,,,,"Y"
"2019-09-04","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"29937248643.68",,,,,,"Y"
"2019-09-04","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"28702903591.04",,,,,,"Y"
"2019-09-04","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"25710327651.97",,,,,,"Y"
"2019-09-04","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"22540617708.78",,,,,,"Y"
"2019-09-04","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"20468394889.89",,,,,,"Y"
"2019-09-04","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"20147669359.34",,,,,,"Y"
"2019-09-04","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"20020003633.5",,,,,,"Y"
"2019-09-04","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"17795003637.7",,,,,,"Y"
"2019-09-04","'3138ETKG0'","MBS","UMBS MORTPASS 3% 01/43","30yr",,,,,"15701951706.1",,,,,,"Y"
"2019-09-04","'3138ETP75'","MBS","UMBS MORTPASS 3.5% 12/45","30yr",,,,,"15154392396.81",,,,,,"Y"
"2019-09-04","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"14479938373.32",,,,,,"Y"
"2019-09-04","'3138ETKK1'","MBS","UMBS MORTPASS 3.5% 01/44","30yr",,,,,"14216723210.94",,,,,,"Y"
"2019-09-04","'3138ETE44'","MBS","UMBS MORTPASS 3.5% 05/43","30yr",,,,,"13435677353.16",,,,,,"Y"
"2019-09-04","'3138ETP26'","MBS","UMBS MORTPASS 3.5% 09/45","30yr",,,,,"11538777705.37",,,,,,"Y"
"2019-09-04","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"10261524756.31",,,,,,""
"2019-09-04","'3140J8BW2'","MBS","UMBS MORTPASS 2.5% 02/32","15yr",,,,,"9671593810.9",,,,,,"Y"
"2019-09-04","'3138ETKL9'","MBS","UMBS MORTPASS 4% 03/44","30yr",,,,,"9635351653.09",,,,,,"Y"
