"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-08-02","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"40897930506.2",,,,,,"Y"
"2017-08-02","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"40572230033.62",,,,,,"Y"
"2017-08-02","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"36527906769.23",,,,,,"Y"
"2017-08-02","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"25399621248.37",,,,,,"Y"
"2017-08-02","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"25241519109.12",,,,,,"Y"
"2017-08-02","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"22272703286.85",,,,,,"Y"
"2017-08-02","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"20457369725.8",,,,,,"Y"
"2017-08-02","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"19796109418.56",,,,,,"Y"
"2017-08-02","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"18857141372.1",,,,,,"Y"
"2017-08-02","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"18378955461.4",,,,,,"Y"
"2017-08-02","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"17660822223.83",,,,,,"Y"
"2017-08-02","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"15622860797.17",,,,,,"Y"
"2017-08-02","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"13625217447.23",,,,,,"Y"
"2017-08-02","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13095535111.87",,,,,,""
"2017-08-02","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12602404549.82",,,,,,"Y"
"2017-08-02","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"11942910310.96",,,,,,"Y"
"2017-08-02","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"11896354253.69",,,,,,"Y"
"2017-08-02","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11783968765.42",,,,,,"Y"
"2017-08-02","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11361122228.25",,,,,,"Y"
"2017-08-02","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"11336108522.07",,,,,,"Y"
"2017-08-02","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11226859668.76",,,,,,"Y"
"2017-08-02","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10755438718.29",,,,,,"Y"
"2017-08-02","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10299744221.82",,,,,,"Y"
"2017-08-02","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10297018033.64",,,,,,"Y"
"2017-08-02","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10141732633.15",,,,,,"Y"
"2017-08-02","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"10034873153.14",,,,,,"Y"
"2017-08-02","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"9924364934.16",,,,,,"Y"
"2017-08-02","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"9419195586.91",,,,,,"Y"
"2017-08-02","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9406308142.55",,,,,,"Y"
"2017-08-02","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9360559415.25",,,,,,""
"2017-08-02","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"9169228197.13",,,,,,"Y"
"2017-08-02","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"9070000486.1",,,,,,"Y"
"2017-08-02","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8850835796.13",,,,,,""
"2017-08-02","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"8497678684.48",,,,,,""
"2017-08-02","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"8368189573.85",,,,,,"Y"
"2017-08-02","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"8356485408.71",,,,,,"Y"
"2017-08-02","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"8250867144",,,,,,"Y"
"2017-08-02","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"8188562332.31",,,,,,"Y"
"2017-08-02","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"8182035588.72",,,,,,"Y"
"2017-08-02","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"8144825574.95",,,,,,"Y"
"2017-08-02","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"7811803336.62",,,,,,"Y"
"2017-08-02","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"7775928640.91",,,,,,"Y"
"2017-08-02","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7395283632.5",,,,,,""
"2017-08-02","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7375304123.57",,,,,,""
"2017-08-02","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"7362612617.49",,,,,,"Y"
"2017-08-02","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"6972765132.65",,,,,,"Y"
"2017-08-02","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"6905388564.77",,,,,,"Y"
"2017-08-02","'3140J5G29'","MBS","FNMA MORTPASS 3% 03/46","30yr",,,,,"6853854971.54",,,,,,"Y"
"2017-08-02","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"6491111841.72",,,,,,""
"2017-08-02","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"6424250372.68",,,,,,""
"2017-08-02","'3128MJZB9'","MBS","FHLMCGLD 3% 12/46","30yr",,,,,"6308228687",,,,,,""
"2017-08-02","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"6266495136.27",,,,,,""
"2017-08-02","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"6241824289.03",,,,,,"Y"
"2017-08-02","'36179SGK7'","MBS","GNMA II MORTPASS 3% 07/46","30yr",,,,,"6213892380.46",,,,,,""
"2017-08-02","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"6120837052.06",,,,,,""
"2017-08-02","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"6119127081",,,,,,"Y"
"2017-08-02","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"6085334672.96",,,,,,"Y"
"2017-08-02","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"6031179846.74",,,,,,""
"2017-08-02","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"5822811028.74",,,,,,"Y"
"2017-08-02","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"5761461428.35",,,,,,"Y"
"2017-08-02","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"5601784431.33",,,,,,"Y"
"2017-08-02","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"5529397958.09",,,,,,"Y"
"2017-08-02","'3128MJZF0'","MBS","FHLMCGLD 3% 01/47","30yr",,,,,"5529105097.6",,,,,,""
"2017-08-02","'3128MFDA3'","MBS","FHLMCGLD 2.5% 02/31","15yr",,,,,"5504799932.2",,,,,,"Y"
"2017-08-02","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"5494942293.04",,,,,,""
"2017-08-02","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"5477243067.81",,,,,,""
"2017-08-02","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"5469595791.44",,,,,,"Y"
"2017-08-02","'36179SNU7'","MBS","GNMA II MORTPASS 3% 10/46","30yr",,,,,"5462954199.45",,,,,,""
"2017-08-02","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"5437882840.68",,,,,,""
"2017-08-02","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"5436347280.86",,,,,,"Y"
"2017-08-02","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"5168095305.73",,,,,,"Y"
"2017-08-02","'36179RNW5'","MBS","GNMA II 3.5% 09/45","30yr",,,,,"5162593187.84",,,,,,""
"2017-08-02","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"5109019208.46",,,,,,"Y"
"2017-08-02","'36179RJE0'","MBS","GNMA II 3.5% 07/45","30yr",,,,,"5065058285.85",,,,,,""
"2017-08-02","'36179SLS4'","MBS","GNMA II 3.5% 09/46","30yr",,,,,"5031227183.21",,,,,,""
"2017-08-02","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"5016806739.08",,,,,,"Y"
"2017-08-02","'36179Q6P1'","MBS","GNMA II 3.5% 03/45","30yr",,,,,"5004442511.32",,,,,,""
"2017-08-02","'36179SGL5'","MBS","GNMA II 3.5% 07/46","30yr",,,,,"4939688021.05",,,,,,""
"2017-08-02","'36179RXD6'","MBS","GNMA II 3.5% 01/46","30yr",,,,,"4937449193.76",,,,,,""
"2017-08-02","'3140J6GK7'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"4889522835.21",,,,,,""
"2017-08-02","'36179RZT9'","MBS","GNMA II 3.5% 02/46","30yr",,,,,"4796914793.34",,,,,,""
