"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-12-15","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"33646781371.97",,,,,,""
"2021-12-15","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"31409684460.98",,,,,,""
"2021-12-15","'3132DWCB7'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"29987462298.04",,,,,,""
"2021-12-15","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"28358929435.69",,,,,,""
"2021-12-15","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"27484941300.01",,,,,,""
"2021-12-15","'3132DWCH4'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"27163489028.67",,,,,,""
"2021-12-15","'31418DYX4'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"26369152357.42",,,,,,""
"2021-12-15","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"26232425430.79",,,,,,""
"2021-12-15","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"24766496056.13",,,,,,"Y"
"2021-12-15","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"24635525286.39",,,,,,""
"2021-12-15","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"24446961816.91",,,,,,""
"2021-12-15","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"23570257761.51",,,,,,""
"2021-12-15","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"21725982507.35",,,,,,""
"2021-12-15","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"21004480318.31",,,,,,""
"2021-12-15","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"20407569750.76",,,,,,""
"2021-12-15","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"20290899401.04",,,,,,""
"2021-12-15","'31418DZV7'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"19935693711.45",,,,,,""
"2021-12-15","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"19855421106.78",,,,,,""
"2021-12-15","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"19510523509.92",,,,,,""
"2021-12-15","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"19298032927.33",,,,,,""
"2021-12-15","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"19091115596.15",,,,,,""
"2021-12-15","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"18987531357.65",,,,,,""
"2021-12-15","'3132DWCC5'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"18759628472.64",,,,,,""
"2021-12-15","'36179WG36'","MBS","GNMA II 2.5% 06/51","30yr",,,,,"17516921480.5",,,,,,""
"2021-12-15","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"17512390514.72",,,,,,""
"2021-12-15","'31418D6B3'","MBS","UMBS MORTPASS 2% 11/51","30yr",,,,,"17439560072.71",,,,,,""
"2021-12-15","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"17264416102.05",,,,,,""
"2021-12-15","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"17062188329.12",,,,,,"Y"
"2021-12-15","'3132DWCN1'","MBS","UMBS MORTPASS 2% 11/51","30yr",,,,,"17047485258.6",,,,,,""
"2021-12-15","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"16936539717.03",,,,,,""
"2021-12-15","'31418D4X7'","MBS","UMBS MORTPASS 2% 10/51","30yr",,,,,"16738911974.92",,,,,,""
"2021-12-15","'31418DYB2'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"16719241749.32",,,,,,""
"2021-12-15","'31418D2L5'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"16170906444.45",,,,,,""
"2021-12-15","'36179WFG8'","MBS","GNMA II 2.5% 05/51","30yr",,,,,"16164331093.72",,,,,,""
"2021-12-15","'3132DWBZ5'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"15714512497.64",,,,,,""
"2021-12-15","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"15688128044.78",,,,,,""
"2021-12-15","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"15623502542.7",,,,,,""
"2021-12-15","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"15598846679.25",,,,,,"Y"
"2021-12-15","'3132DWCT8'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"15427378605.35",,,,,,""
"2021-12-15","'3132DWBU6'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15271969965.84",,,,,,""
"2021-12-15","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"14938360480.68",,,,,,"Y"
"2021-12-15","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"14895695340.84",,,,,,""
"2021-12-15","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"14472426995.62",,,,,,""
"2021-12-15","'3132DWBY8'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"14404505834.59",,,,,,""
"2021-12-15","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"14247402342.27",,,,,,""
"2021-12-15","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"13677272926.6",,,,,,""
"2021-12-15","'31418DXK3'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"13475951256.49",,,,,,""
"2021-12-15","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"13427890400.39",,,,,,"Y"
"2021-12-15","'36179VZR4'","MBS","GNMA II 2.5% 12/50","30yr",,,,,"13234078313.47",,,,,,""
"2021-12-15","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"13198381999.67",,,,,,""
"2021-12-15","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"13008007662.58",,,,,,""
"2021-12-15","'31418D3X8'","MBS","UMBS MORTPASS 2% 09/51","30yr",,,,,"13006307377.52",,,,,,""
"2021-12-15","'31418D7E6'","MBS","UMBS MORTPASS 2% 12/51","30yr",,,,,"12974364148.3",,,,,,""
"2021-12-15","'36179WND6'","MBS","GNMA II MORTPASS 2% 09/51","30yr",,,,,"12823327166.94",,,,,,""
"2021-12-15","'31418D3Y6'","MBS","UMBS MORTPASS 2.5% 09/51","30yr",,,,,"12738741368.62",,,,,,""
"2021-12-15","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"12524749938.13",,,,,,""
"2021-12-15","'3132DWB69'","MBS","UMBS MORTPASS 2.5% 08/51","30yr",,,,,"12480697722.59",,,,,,""
"2021-12-15","'36179VXX3'","MBS","GNMA II MORTPASS 2% 11/50","30yr",,,,,"12145578388.7",,,,,,""
"2021-12-15","'31418DSJ2'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"11447799614.86",,,,,,""
"2021-12-15","'3132DWBT9'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"11383780345.92",,,,,,""
"2021-12-15","'3132DWCJ0'","MBS","UMBS MORTPASS 2.5% 10/51","30yr",,,,,"11275898410.18",,,,,,""
"2021-12-15","'36179V4V9'","MBS","GNMA II 2.5% 01/51","30yr",,,,,"11202283396.59",,,,,,""
"2021-12-15","'31418D3H3'","MBS","UMBS MORTPASS 2.5% 08/51","30yr",,,,,"11065691948.18",,,,,,""
"2021-12-15","'31418D6C1'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"10792233713.78",,,,,,""
"2021-12-15","'3132DWCP6'","MBS","UMBS MORTPASS 2.5% 11/51","30yr",,,,,"10606523182.41",,,,,,""
"2021-12-15","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"10592567799.04",,,,,,""
"2021-12-15","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"10561505626.87",,,,,,""
"2021-12-15","'36179WP93'","MBS","GNMA II MORTPASS 2% 10/51","30yr",,,,,"10533432567.79",,,,,,""
"2021-12-15","'31418D3G5'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"10309181795.54",,,,,,""
"2021-12-15","'36179WJQ2'","MBS","GNMA II MORTPASS 2% 07/51","30yr",,,,,"10297760842.08",,,,,,""
"2021-12-15","'3132DWBA0'","MBS","UMBS MORTPASS 1.5% 03/51","30yr",,,,,"10256933104.79",,,,,,""
"2021-12-15","'3132DWCU5'","MBS","UMBS MORTPASS 2.5% 12/51","30yr",,,,,"10230289620.48",,,,,,""
"2021-12-15","'3132DWCZ4'","MBS","UMBS MORTPASS 2% 01/52","30yr",,,,,"10103838139",,,,,,""
"2021-12-15","'3132DWBG7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"10103638024.48",,,,,,""
"2021-12-15","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"9854688778.88",,,,,,""
