"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2016-07-27","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"46970097222.46",,,,,,"Y"
"2016-07-27","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"46254542377.94",,,,,,"Y"
"2016-07-27","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"42214920262.39",,,,,,"Y"
"2016-07-27","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"29232784025.38",,,,,,"Y"
"2016-07-27","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"28848454579.47",,,,,,"Y"
"2016-07-27","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"25238670188.2",,,,,,"Y"
"2016-07-27","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"23009884246.32",,,,,,"Y"
"2016-07-27","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"22963747304.6",,,,,,"Y"
"2016-07-27","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"21623121707.63",,,,,,"Y"
"2016-07-27","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"21051202475.36",,,,,,"Y"
"2016-07-27","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"18992741727.43",,,,,,"Y"
"2016-07-27","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"18257062910.99",,,,,,"Y"
"2016-07-27","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"16213902508.03",,,,,,"Y"
"2016-07-27","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"16005324674.95",,,,,,"Y"
"2016-07-27","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"15383579574.4",,,,,,"Y"
"2016-07-27","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"15088744587.92",,,,,,"Y"
"2016-07-27","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"14616035812.38",,,,,,"Y"
"2016-07-27","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"14447530005.13",,,,,,"Y"
"2016-07-27","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"14313937242.08",,,,,,"Y"
"2016-07-27","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"13865885249.12",,,,,,"Y"
"2016-07-27","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"13151499377.27",,,,,,"Y"
"2016-07-27","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"12840110046.57",,,,,,"Y"
"2016-07-27","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"12474284365.91",,,,,,"Y"
"2016-07-27","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"12321576304.96",,,,,,"Y"
"2016-07-27","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"12152864948.81",,,,,,"Y"
"2016-07-27","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"11921453484.84",,,,,,"Y"
"2016-07-27","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"11918574964.53",,,,,,"Y"
"2016-07-27","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"11465159627.22",,,,,,"Y"
"2016-07-27","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"11256557524.41",,,,,,"Y"
"2016-07-27","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"11233511362.53",,,,,,"Y"
"2016-07-27","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"10998859024",,,,,,"Y"
"2016-07-27","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"10890542721.23",,,,,,"Y"
"2016-07-27","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"10796274062.7",,,,,,"Y"
"2016-07-27","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"10481950655.36",,,,,,"Y"
"2016-07-27","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"10281997484.1",,,,,,""
"2016-07-27","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"10051197841.73",,,,,,"Y"
"2016-07-27","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9650663864.82",,,,,,"Y"
"2016-07-27","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"9491845772.56",,,,,,"Y"
"2016-07-27","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"9385221610.47",,,,,,"Y"
"2016-07-27","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"9236306519.58",,,,,,"Y"
"2016-07-27","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"8493723047.8",,,,,,"Y"
"2016-07-27","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"7959516304.66",,,,,,""
"2016-07-27","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"7903580563.87",,,,,,"Y"
"2016-07-27","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"7807304591.64",,,,,,""
"2016-07-27","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"7609414313.02",,,,,,""
"2016-07-27","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"7563078890.21",,,,,,"Y"
"2016-07-27","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"7449009540.25",,,,,,"Y"
"2016-07-27","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"7448328786.3",,,,,,"Y"
"2016-07-27","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"7438186287.95",,,,,,""
"2016-07-27","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"7313587386.58",,,,,,"Y"
"2016-07-27","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"7061127457.16",,,,,,"Y"
"2016-07-27","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"6881017678.07",,,,,,"Y"
"2016-07-27","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"6643669045.34",,,,,,"Y"
"2016-07-27","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"6619392570.46",,,,,,"Y"
"2016-07-27","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"6615217149.59",,,,,,""
