"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-02-24","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"38670900126.27",,,,,,"Y"
"2021-02-24","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"36511912125.58",,,,,,""
"2021-02-24","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"31828491405.52",,,,,,""
"2021-02-24","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29573087409.57",,,,,,""
"2021-02-24","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"28323078271.73",,,,,,""
"2021-02-24","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"26107342057.51",,,,,,"Y"
"2021-02-24","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25716594467.25",,,,,,""
"2021-02-24","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25067844489.84",,,,,,""
"2021-02-24","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"23548987906.36",,,,,,""
"2021-02-24","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"22163775227.88",,,,,,""
"2021-02-24","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"21998600228.71",,,,,,""
"2021-02-24","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"21901326869.19",,,,,,"Y"
"2021-02-24","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"21368641404.08",,,,,,"Y"
"2021-02-24","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"21233795765.41",,,,,,""
"2021-02-24","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20791811280.64",,,,,,""
"2021-02-24","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"20669495893.35",,,,,,""
