"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2019-02-27","'3140J8GV9'","MBS","FNMA MORTPASS 3% 07/47","30yr",,,,,"70427187694.12",,,,,,"Y"
"2019-02-27","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"49411384422.78",,,,,,"Y"
"2019-02-27","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"34395990919.68",,,,,,"Y"
"2019-02-27","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"34111442252.05",,,,,,"Y"
"2019-02-27","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"32252919759.69",,,,,,"Y"
"2019-02-27","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"30468004164.6",,,,,,"Y"
"2019-02-27","'3140J8GW7'","MBS","FNMA MORTPASS 3.5% 10/47","30yr",,,,,"27917223453.59",,,,,,"Y"
"2019-02-27","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"24352885380.02",,,,,,"Y"
"2019-02-27","'3140J8BU6'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"22067398633.94",,,,,,"Y"
"2019-02-27","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"21366360310.19",,,,,,"Y"
"2019-02-27","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"21196256938.85",,,,,,"Y"
"2019-02-27","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"18907801146.41",,,,,,"Y"
"2019-02-27","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"16626385729.32",,,,,,"Y"
"2019-02-27","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"16349347294.36",,,,,,"Y"
"2019-02-27","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"15379883593.12",,,,,,"Y"
"2019-02-27","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"15227165738.09",,,,,,"Y"
"2019-02-27","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"14344923291.41",,,,,,"Y"
"2019-02-27","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"12425936392.96",,,,,,"Y"
"2019-02-27","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"11183742443.77",,,,,,""
"2019-02-27","'3140J8BW2'","MBS","FNMA MORTPASS 2.5% 02/32","15yr",,,,,"10490365741.41",,,,,,"Y"
"2019-02-27","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"10428171399.06",,,,,,"Y"
"2019-02-27","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"9853139789.28",,,,,,"Y"
"2019-02-27","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"9676568726.91",,,,,,"Y"
"2019-02-27","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"9410428880.54",,,,,,"Y"
"2019-02-27","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"9251719788.76",,,,,,"Y"
"2019-02-27","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"9054516704.39",,,,,,"Y"
"2019-02-27","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"8990517389.29",,,,,,"Y"
"2019-02-27","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"8668544321.29",,,,,,"Y"
"2019-02-27","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"8578109948.39",,,,,,"Y"
"2019-02-27","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"8445439872.52",,,,,,"Y"
"2019-02-27","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"8369375315.8",,,,,,"Y"
"2019-02-27","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"8357723290.71",,,,,,"Y"
"2019-02-27","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"8229102724.84",,,,,,"Y"
"2019-02-27","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"8021861698.43",,,,,,""
"2019-02-27","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"7988154446.49",,,,,,"Y"
"2019-02-27","'36179TCX1'","MBS","GNMA II 3.5% 07/47","30yr",,,,,"7819390401.34",,,,,,""
"2019-02-27","'3140J57J2'","MBS","FNMA MORTPASS 4% 02/47","30yr",,,,,"7613175000.35",,,,,,"Y"
