"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-07-28","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"35641736217.32",,,,,,""
"2021-07-28","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"33183459397.72",,,,,,""
"2021-07-28","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"29276304983.2",,,,,,""
"2021-07-28","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29151797762.87",,,,,,""
"2021-07-28","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"28784220119.93",,,,,,"Y"
"2021-07-28","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"27414617402.82",,,,,,""
"2021-07-28","'31418DYX4'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"27015068895.34",,,,,,""
"2021-07-28","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"25801013055.22",,,,,,""
"2021-07-28","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25582651482.36",,,,,,""
"2021-07-28","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"22449548694.65",,,,,,""
"2021-07-28","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"22379196666.02",,,,,,""
"2021-07-28","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"21644446756.56",,,,,,""
"2021-07-28","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"21308484709.27",,,,,,""
"2021-07-28","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"20993838980.81",,,,,,""
"2021-07-28","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"20514438327.66",,,,,,"Y"
"2021-07-28","'31418DZV7'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"20451985385.32",,,,,,""
"2021-07-28","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"20437298347.4",,,,,,""
"2021-07-28","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"20367797352.08",,,,,,""
"2021-07-28","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20341110840.68",,,,,,""
"2021-07-28","'3132DWB51'","MBS","UMBS MORTPASS 2% 08/51","30yr",,,,,"18026057332",,,,,,""
"2021-07-28","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"17989297672.38",,,,,,""
"2021-07-28","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"17509962618.9",,,,,,""
"2021-07-28","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"17407316596.85",,,,,,"Y"
