"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2018-08-15","'3140J8GV9'","MBS","FNMA MORTPASS 3% 07/47","30yr",,,,,"74259167358.46",,,,,,"Y"
"2018-08-15","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"51662912847.81",,,,,,"Y"
"2018-08-15","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"36444644383.74",,,,,,"Y"
"2018-08-15","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"36144334586.71",,,,,,"Y"
"2018-08-15","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"34175374112.93",,,,,,"Y"
"2018-08-15","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"32381686167.69",,,,,,"Y"
"2018-08-15","'3140J8GW7'","MBS","FNMA MORTPASS 3.5% 10/47","30yr",,,,,"30048930332.88",,,,,,"Y"
"2018-08-15","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"25902701971.91",,,,,,"Y"
"2018-08-15","'3140J8BU6'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"23666918231.63",,,,,,"Y"
"2018-08-15","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"22400453535.68",,,,,,"Y"
"2018-08-15","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"22258778523.48",,,,,,"Y"
"2018-08-15","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"19798256869.5",,,,,,"Y"
"2018-08-15","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"17637147916.92",,,,,,"Y"
"2018-08-15","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"17514914960.67",,,,,,"Y"
"2018-08-15","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"16321852913.95",,,,,,"Y"
"2018-08-15","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"16158571111.57",,,,,,"Y"
"2018-08-15","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"15319840034.28",,,,,,"Y"
"2018-08-15","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"13345204648.35",,,,,,"Y"
"2018-08-15","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"12076129321.26",,,,,,""
"2018-08-15","'3140J8BW2'","MBS","FNMA MORTPASS 2.5% 02/32","15yr",,,,,"11382264202.58",,,,,,"Y"
"2018-08-15","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"11286769388.61",,,,,,"Y"
