"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2018-10-03","'3140J8GV9'","MBS","FNMA MORTPASS 3% 07/47","30yr",,,,,"72950271188.62",,,,,,"Y"
"2018-10-03","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"51187536432.74",,,,,,"Y"
"2018-10-03","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"35746437538.94",,,,,,"Y"
"2018-10-03","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"35432513632.51",,,,,,"Y"
"2018-10-03","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"33742757588.3",,,,,,"Y"
"2018-10-03","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"31718035670.59",,,,,,"Y"
"2018-10-03","'3140J8GW7'","MBS","FNMA MORTPASS 3.5% 10/47","30yr",,,,,"29300808992.58",,,,,,"Y"
"2018-10-03","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"25565507320.59",,,,,,"Y"
"2018-10-03","'3140J8BU6'","MBS","FNMA MORTPASS 3.5% 12/46","30yr",,,,,"23113242876.62",,,,,,"Y"
"2018-10-03","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"22185140866.44",,,,,,"Y"
"2018-10-03","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"22032622566.3",,,,,,"Y"
"2018-10-03","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"19610974334.22",,,,,,"Y"
"2018-10-03","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"17274180314.65",,,,,,"Y"
"2018-10-03","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"17105908483.66",,,,,,"Y"
"2018-10-03","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"15992754161.44",,,,,,"Y"
