"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2013-01-23","'3138EHBH4'","MBS","FED NATL MORT 4.5% 10/39","30yr",,,,,"17111481290.52",,,,,,"Y"
"2013-01-23","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"12497064521.15",,,,,,"Y"
"2013-01-23","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"12395151555.36",,,,,,"Y"
"2013-01-23","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"12102975676.08",,,,,,"Y"
"2013-01-23","'3138EHBL5'","MBS","FED NATL MORT 4.5% 08/39","30yr",,,,,"11527837631.66",,,,,,"Y"
"2013-01-23","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"11303692362.66",,,,,,"Y"
"2013-01-23","'3138EGNT7'","MBS","FED NATL MORT 4.5% 06/40","30yr",,,,,"11154510457.44",,,,,,"Y"
"2013-01-23","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"10694309163.32",,,,,,"Y"
"2013-01-23","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"10571010863.11",,,,,,"Y"
"2013-01-23","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"10088739119.28",,,,,,"Y"
"2013-01-23","'36179MX39'","MBS","GOVT NATL MTG 3% 01/43","30yr",,,,,"10079314272",,,,,,""
"2013-01-23","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"9580146367.7",,,,,,"Y"
"2013-01-23","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"9505002939.21",,,,,,"Y"
"2013-01-23","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"9460343823.91",,,,,,"Y"
"2013-01-23","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"9424048001.93",,,,,,"Y"
"2013-01-23","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"9322739889.91",,,,,,"Y"
"2013-01-23","'3138EGF33'","MBS","FED NATL MORT 5% 06/40","30yr",,,,,"8887638668.91",,,,,,"Y"
"2013-01-23","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"8494861950.4",,,,,,"Y"
"2013-01-23","'3138EGVW1'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"8324796430.65",,,,,,"Y"
"2013-01-23","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"8314951857.76",,,,,,"Y"
"2013-01-23","'36179MVR8'","MBS","GNMA II GTD 3% 12/42","30yr",,,,,"8051401746.96",,,,,,""
"2013-01-23","'3138EGWB6'","MBS","FED NATL MORT 5% 07/40","30yr",,,,,"8044406717.59",,,,,,"Y"
"2013-01-23","'3128M8X58'","MBS","FHLMCGLD 4.5% 06/39","30yr",,,,,"8024241932.61",,,,,,"Y"
"2013-01-23","'36179MAX8'","MBS","GNMA II GTD 3.5% 04/42","30yr",,,,,"7855568605.63",,,,,,""
"2013-01-23","'36179MSW1'","MBS","GOVT NATIONAL 3% 11/42","30yr",,,,,"7461966274.43",,,,,,""
"2013-01-23","'3128M8QT4'","MBS","FED HOME LOAN 4.5% 07/40","30yr",,,,,"6986238550.91",,,,,,"Y"
"2013-01-23","'3138EHBR2'","MBS","FED NATL MORT 4.5% 08/39","30yr",,,,,"6816296095.67",,,,,,"Y"
"2013-01-23","'3128M8QZ0'","MBS","FED HOME LOAN 5% 05/40","30yr",,,,,"6608992638.92",,,,,,"Y"
"2013-01-23","'3138EGQG2'","MBS","FED NATL MORT 4.5% 05/40","30yr",,,,,"6482721238",,,,,,"Y"
"2013-01-23","'3138EHCZ3'","MBS","FED NATL MORT 4.5% 04/39","30yr",,,,,"6402626754.84",,,,,,"Y"
"2013-01-23","'3128M8V27'","MBS","FED HOME LOAN 4.5% 03/40","30yr",,,,,"6318037615.58",,,,,,"Y"
"2013-01-23","'3138EGWJ9'","MBS","FED NATL MORT 4.5% 01/40","30yr",,,,,"5992284364.74",,,,,,"Y"
"2013-01-23","'3128M8WL4'","MBS","FED HOME LOAN 4.5% 10/39","30yr",,,,,"5755537283.33",,,,,,"Y"
"2013-01-23","'3138EGXS8'","MBS","FED NATL MORT 4% 06/39","30yr",,,,,"5298393978.76",,,,,,"Y"
"2013-01-23","'3138EGXN9'","MBS","FED NATL MORT 4% 08/39","30yr",,,,,"5273787787.34",,,,,,"Y"
"2013-01-23","'3138EGW59'","MBS","FED NATL MORT 5.5% 06/39","30yr",,,,,"5248947327.17",,,,,,"Y"
"2013-01-23","'3128M8RK2'","MBS","FED HOME LOAN 4.5% 06/40","30yr",,,,,"5156714348.88",,,,,,"Y"
"2013-01-23","'36202E7G8'","MBS","GNMA II 4.5% 07/39","30yr",,,,,"5129748002.11",,,,,,""
"2013-01-23","'3128M8WU4'","MBS","FED HOME LOAN 4% 05/39","30yr",,,,,"4989591036.66",,,,,,"Y"
"2013-01-23","'3128M8V76'","MBS","FED HOME LOAN 4% 08/39","30yr",,,,,"4885552118.54",,,,,,"Y"
"2013-01-23","'36179MCZ1'","MBS","GOVERNMENT 3.5% 05/42","30yr",,,,,"4845235250.86",,,,,,""
"2013-01-23","'3128M8X33'","MBS","FED HOME LOAN 4.5% 03/40","30yr",,,,,"4738814097.07",,,,,,"Y"
"2013-01-23","'3128M8QR8'","MBS","FED HOME LOAN 5% 07/40","30yr",,,,,"4523043578.36",,,,,,"Y"
"2013-01-23","'3128M8WA8'","MBS","FED HOME LOAN 4% 07/39","30yr",,,,,"4512086356.56",,,,,,"Y"
"2013-01-23","'3128M8XJ8'","MBS","FED HOME LOAN 5% 05/39","30yr",,,,,"4478261827.69",,,,,,"Y"
"2013-01-23","'3128M8WE0'","MBS","FED HOME LOAN 4% 06/39","30yr",,,,,"4366905145.5",,,,,,"Y"
"2013-01-23","'3138EHBV3'","MBS","FED NATL MORT 5% 07/39","30yr",,,,,"4347621754.57",,,,,,"Y"
"2013-01-23","'3138EGWE0'","MBS","FED NATL MORT 4% 07/39","30yr",,,,,"4143255848.02",,,,,,"Y"
"2013-01-23","'3138EGWH3'","MBS","FED NATL MORT 5.5% 09/39","30yr",,,,,"4121985860.82",,,,,,"Y"
"2013-01-23","'36202F4Q6'","MBS","GNMA II GTD 3.5% 03/42","30yr",,,,,"4036821791.77",,,,,,""
"2013-01-23","'36179MQN3'","MBS","GOVT NATL MTG 3% 10/42","30yr",,,,,"3919137781.8",,,,,,""
"2013-01-23","'3138EGFQ2'","MBS","FED NATL MORT 5% 07/40","30yr",,,,,"3871816132.69",,,,,,"Y"
