"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-06-07","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"41789250380.69",,,,,,"Y"
"2017-06-07","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"41453311575.14",,,,,,"Y"
"2017-06-07","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"37411712002.22",,,,,,"Y"
"2017-06-07","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"25964210545.77",,,,,,"Y"
"2017-06-07","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"25803767785.4",,,,,,"Y"
"2017-06-07","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"22714945445",,,,,,"Y"
"2017-06-07","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"20971034239.41",,,,,,"Y"
"2017-06-07","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"20221199823.51",,,,,,"Y"
"2017-06-07","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"19372611886.95",,,,,,"Y"
"2017-06-07","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"18799408179.25",,,,,,"Y"
"2017-06-07","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"18155589820.89",,,,,,"Y"
"2017-06-07","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"16061341780.17",,,,,,"Y"
"2017-06-07","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"14110453142.48",,,,,,"Y"
"2017-06-07","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13251046931.68",,,,,,""
"2017-06-07","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12992724413.67",,,,,,"Y"
"2017-06-07","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"12358740621.29",,,,,,"Y"
"2017-06-07","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"12297111933.26",,,,,,"Y"
"2017-06-07","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"12080500532.33",,,,,,"Y"
"2017-06-07","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11681944042.54",,,,,,"Y"
"2017-06-07","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"11657109867.92",,,,,,"Y"
"2017-06-07","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11634469694.34",,,,,,"Y"
"2017-06-07","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"11157860500.83",,,,,,"Y"
"2017-06-07","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10571915450.73",,,,,,"Y"
"2017-06-07","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10513322847.36",,,,,,"Y"
"2017-06-07","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10381536417.21",,,,,,"Y"
"2017-06-07","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"10334632942.52",,,,,,"Y"
"2017-06-07","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10142192754.47",,,,,,"Y"
"2017-06-07","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"9779225516.97",,,,,,"Y"
"2017-06-07","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9690965092.25",,,,,,"Y"
"2017-06-07","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"9508409569.49",,,,,,"Y"
"2017-06-07","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9398208222.41",,,,,,""
"2017-06-07","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"9306047239.7",,,,,,"Y"
"2017-06-07","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8859597144.35",,,,,,""
"2017-06-07","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"8768262654.48",,,,,,""
"2017-06-07","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"8686066252.96",,,,,,"Y"
"2017-06-07","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"8681748739.76",,,,,,"Y"
"2017-06-07","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"8535014732.43",,,,,,"Y"
"2017-06-07","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"8495648517.42",,,,,,"Y"
