"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2012-09-12","'3138EHBH4'","MBS","FNMA MORTPASS 4.5% 10/39","30yr",,,,,"19974704917.55",,,,,,"Y"
"2012-09-12","'3128M8WR1'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"15137811131.53",,,,,,"Y"
"2012-09-12","'3138EGVV3'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"14566296727.38",,,,,,"Y"
"2012-09-12","'3138EHBL5'","MBS","FNMA MORTPASS 4.5% 08/39","30yr",,,,,"14233929912.09",,,,,,"Y"
"2012-09-12","'3138EGW75'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"13966858026.89",,,,,,"Y"
"2012-09-12","'3128M8WB6'","MBS","FHLMCGLD 5% 03/40","30yr",,,,,"13376320679.42",,,,,,"Y"
"2012-09-12","'3128M8XK5'","MBS","FHLMCGLD 4.5% 11/39","30yr",,,,,"13252408135.98",,,,,,"Y"
"2012-09-12","'3138EGNT7'","MBS","FNMA MORTPASS 4.5% 06/40","30yr",,,,,"12927609155.17",,,,,,"Y"
"2012-09-12","'3128M8RL0'","MBS","FHLMCGLD 5% 02/40","30yr",,,,,"12274537644.43",,,,,,"Y"
"2012-09-12","'3138EHCX8'","MBS","FNMS 04.500 CLAL0985","30yr",,,,,"12197605098.17",,,,,,"Y"
"2012-09-12","'3138EGW34'","MBS","FNMA MORTPASS 4.5% 11/39","30yr",,,,,"11680815560.68",,,,,,"Y"
"2012-09-12","'3138EGV35'","MBS","FNMA MORTPASS 4% 08/39","30yr",,,,,"11502647457.24",,,,,,"Y"
"2012-09-12","'3128M8X82'","MBS","FHLMCGLD 4.5% 09/39","30yr",,,,,"11244745222.59",,,,,,"Y"
"2012-09-12","'3138EGF25'","MBS","FNMA MORTPASS 4.5% 07/40","30yr",,,,,"11159994753.39",,,,,,"Y"
"2012-09-12","'3138EGPA6'","MBS","FNMA MORTPASS 4% 01/40","30yr",,,,,"10907081135.79",,,,,,"Y"
"2012-09-12","'3128M8X58'","MBS","FHLMCGLD 4.5% 06/39","30yr",,,,,"10593063532.21",,,,,,"Y"
"2012-09-12","'3138EGPC2'","MBS","FNMA MORTPASS 5% 04/40","30yr",,,,,"10545604304.5",,,,,,"Y"
"2012-09-12","'3128M8V35'","MBS","FHLMCGLD 4.5% 04/40","30yr",,,,,"10452462567.2",,,,,,"Y"
"2012-09-12","'3138EGF33'","MBS","FNMA MORTPASS 5% 06/40","30yr",,,,,"9735729425.24",,,,,,"Y"
"2012-09-12","'3138EGVW1'","MBS","FNMA MORTPASS 4.5% 03/40","30yr",,,,,"9672284336.2",,,,,,"Y"
"2012-09-12","'3138EGWB6'","MBS","FNMA MORTPASS 5% 07/40","30yr",,,,,"9119028519.26",,,,,,"Y"
