"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2016-11-23","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"44929571503.09",,,,,,"Y"
"2016-11-23","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"44438133931.1",,,,,,"Y"
"2016-11-23","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"40364380025.72",,,,,,"Y"
"2016-11-23","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"27542851748.94",,,,,,"Y"
"2016-11-23","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"27339755119.32",,,,,,"Y"
"2016-11-23","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"23352228788.66",,,,,,"Y"
"2016-11-23","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"21823361362.23",,,,,,"Y"
"2016-11-23","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"21503221315.3",,,,,,"Y"
"2016-11-23","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"20245836655.55",,,,,,"Y"
"2016-11-23","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"19912874602.85",,,,,,"Y"
"2016-11-23","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"17754106749.6",,,,,,"Y"
"2016-11-23","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"16588971659.86",,,,,,"Y"
"2016-11-23","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"14718101835.61",,,,,,"Y"
"2016-11-23","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"14620763843.4",,,,,,"Y"
"2016-11-23","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"14067433663.75",,,,,,"Y"
"2016-11-23","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"13676368653.85",,,,,,"Y"
"2016-11-23","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"13431833215.37",,,,,,"Y"
"2016-11-23","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13127809436.36",,,,,,""
"2016-11-23","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"13075778231.3",,,,,,"Y"
"2016-11-23","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"12989891119.93",,,,,,"Y"
"2016-11-23","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"12859485174.29",,,,,,"Y"
"2016-11-23","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"11913774125.9",,,,,,"Y"
"2016-11-23","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"11577292058.72",,,,,,"Y"
"2016-11-23","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"11444754929.72",,,,,,"Y"
"2016-11-23","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"11346188799.64",,,,,,"Y"
"2016-11-23","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"11306279880.53",,,,,,"Y"
"2016-11-23","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"11070974913.85",,,,,,"Y"
"2016-11-23","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"10765029615.12",,,,,,"Y"
"2016-11-23","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10726790578.87",,,,,,"Y"
"2016-11-23","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"10274708062.78",,,,,,"Y"
"2016-11-23","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"10082370854.08",,,,,,"Y"
"2016-11-23","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"9975667333.64",,,,,,"Y"
"2016-11-23","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"9830784572.49",,,,,,"Y"
"2016-11-23","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"9619614044.74",,,,,,"Y"
"2016-11-23","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"9525570500.29",,,,,,""
"2016-11-23","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9394603021.54",,,,,,""
"2016-11-23","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"9383314238.53",,,,,,"Y"
"2016-11-23","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"9281550687.26",,,,,,"Y"
"2016-11-23","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"8995800684.07",,,,,,"Y"
"2016-11-23","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"8926098615.09",,,,,,"Y"
"2016-11-23","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"8855280473.13",,,,,,"Y"
"2016-11-23","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"8167935752.23",,,,,,"Y"
"2016-11-23","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"8021772404.37",,,,,,"Y"
"2016-11-23","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7795753878.7",,,,,,""
"2016-11-23","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7602065681.78",,,,,,""
"2016-11-23","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"7417301851.01",,,,,,""
"2016-11-23","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"7233547035.88",,,,,,""
"2016-11-23","'3138ETP59'","MBS","FNMA MORTPASS 4% 03/45","30yr",,,,,"7191081445.97",,,,,,"Y"
"2016-11-23","'3138ETP42'","MBS","FNMA MORTPASS 3.5% 09/43","30yr",,,,,"7109258323.71",,,,,,"Y"
"2016-11-23","'36179MX39'","MBS","GNMA II MORTPASS 3% 01/43","30yr",,,,,"7041801491.78",,,,,,""
"2016-11-23","'3138ETRH1'","MBS","FNMA MORTPASS 2.5% 10/28","15yr",,,,,"6956007791.28",,,,,,"Y"
"2016-11-23","'36179M5L0'","MBS","GNMA II MORTPASS 3% 03/43","30yr",,,,,"6883037995.13",,,,,,""
"2016-11-23","'31335APU6'","MBS","FHLMCGLD 3.5% 08/43","30yr",,,,,"6820571241.58",,,,,,"Y"
"2016-11-23","'31335ASV1'","MBS","FHLMCGLD 4% 12/43","30yr",,,,,"6559463827.67",,,,,,"Y"
"2016-11-23","'3138ETAD8'","MBS","FNMA MORTPASS 4% 02/43","30yr",,,,,"6533858263.08",,,,,,"Y"
"2016-11-23","'36179RBX6'","MBS","GNMA II 3.5% 04/45","30yr",,,,,"6469013081.51",,,,,,""
"2016-11-23","'31335ASU3'","MBS","FHLMCGLD 3.5% 10/43","30yr",,,,,"6393037695.12",,,,,,"Y"
"2016-11-23","'36179SB71'","MBS","GNMA II MORTPASS 3% 05/46","30yr",,,,,"6296509251.48",,,,,,""
"2016-11-23","'3128MEVJ7'","MBS","FHLMCGLD 2.5% 11/28","15yr",,,,,"6187739538.7",,,,,,"Y"
"2016-11-23","'3128MEVK4'","MBS","FHLMCGLD 2.5% 07/29","15yr",,,,,"6184376204.28",,,,,,"Y"
"2016-11-23","'36179MVR8'","MBS","GNMA II MORTPASS 3% 12/42","30yr",,,,,"6115586412.84",,,,,,""
"2016-11-23","'36179RF87'","MBS","GNMA II MORTPASS 3% 06/45","30yr",,,,,"6082067073.39",,,,,,""
"2016-11-23","'36179SGK7'","MBS","GNMA II MORTPASS 3% 07/46","30yr",,,,,"6034741175.25",,,,,,""
"2016-11-23","'3138EQRP9'","MBS","FNMA MORTPASS 4% 06/43","30yr",,,,,"6000915680.22",,,,,,"Y"
"2016-11-23","'36179RNW5'","MBS","GNMA II 3.5% 09/45","30yr",,,,,"5864972049.47",,,,,,""
"2016-11-23","'36179RJE0'","MBS","GNMA II 3.5% 07/45","30yr",,,,,"5794589632.61",,,,,,""
"2016-11-23","'36179Q6P1'","MBS","GNMA II 3.5% 03/45","30yr",,,,,"5777681675.61",,,,,,""
"2016-11-23","'31335AL89'","MBS","FHLMCGLD 3.5% 10/42","30yr",,,,,"5762215231.22",,,,,,"Y"
"2016-11-23","'3128MJZB9'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"5706102299",,,,,,""
"2016-11-23","'3138ETRD0'","MBS","FNMA MORTPASS 3% 10/44","30yr",,,,,"5495672230.75",,,,,,"Y"
"2016-11-23","'36179RD71'","MBS","GNMA II 3.5% 05/45","30yr",,,,,"5339166903.06",,,,,,""
"2016-11-23","'36179SNU7'","MBS","GNMA II MORTPASS 3% 10/46","30yr",,,,,"5298291082.05",,,,,,""
