"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2017-07-05","'3138EQKR2'","MBS","FNMA MORTPASS 3% 07/43","30yr",,,,,"41369020262.4",,,,,,"Y"
"2017-07-05","'3138EQK35'","MBS","FNMA MORTPASS 3% 08/43","30yr",,,,,"41018309936.58",,,,,,"Y"
"2017-07-05","'3138ETKF2'","MBS","FNMA MORTPASS 3% 02/44","30yr",,,,,"36981820357.13",,,,,,"Y"
"2017-07-05","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"25683176344.08",,,,,,"Y"
"2017-07-05","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"25535327149.09",,,,,,"Y"
"2017-07-05","'31335BBK1'","MBS","FHLMCGLD 3% 02/46","30yr",,,,,"22504328207.74",,,,,,"Y"
"2017-07-05","'3138ETP75'","MBS","FNMA MORTPASS 3.5% 12/45","30yr",,,,,"20735890503.34",,,,,,"Y"
"2017-07-05","'3138ETKG0'","MBS","FNMA MORTPASS 3% 01/43","30yr",,,,,"20014636279.97",,,,,,"Y"
"2017-07-05","'3138ETKK1'","MBS","FNMA MORTPASS 3.5% 01/44","30yr",,,,,"19127711731.06",,,,,,"Y"
"2017-07-05","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"18589916199.68",,,,,,"Y"
"2017-07-05","'3138ETE44'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"17912161961.52",,,,,,"Y"
"2017-07-05","'3138ETP26'","MBS","FNMA MORTPASS 3.5% 09/45","30yr",,,,,"15851005900.17",,,,,,"Y"
"2017-07-05","'3138ETKL9'","MBS","FNMA MORTPASS 4% 03/44","30yr",,,,,"13877239980.76",,,,,,"Y"
"2017-07-05","'36179SLR6'","MBS","GNMA II MORTPASS 3% 09/46","30yr",,,,,"13184676917.55",,,,,,""
"2017-07-05","'3138ETP34'","MBS","FNMA MORTPASS 3.5% 07/45","30yr",,,,,"12805318791.04",,,,,,"Y"
"2017-07-05","'3138ETK39'","MBS","FNMA MORTPASS 3.5% 05/45","30yr",,,,,"12133817858.07",,,,,,"Y"
"2017-07-05","'3138ETKM7'","MBS","FNMA MORTPASS 4% 09/44","30yr",,,,,"12132439191.75",,,,,,"Y"
"2017-07-05","'3138ETE51'","MBS","FNMA MORTPASS 3.5% 06/43","30yr",,,,,"11938152321.56",,,,,,"Y"
"2017-07-05","'3138ETKH8'","MBS","FNMA MORTPASS 3.5% 01/43","30yr",,,,,"11523938850.86",,,,,,"Y"
"2017-07-05","'31335AVP0'","MBS","FHLMCGLD 3.5% 09/45","30yr",,,,,"11497711522.25",,,,,,"Y"
"2017-07-05","'3138ETK54'","MBS","FNMA MORTPASS 4% 06/44","30yr",,,,,"11430741661.46",,,,,,"Y"
"2017-07-05","'3138ETK88'","MBS","FNMA MORTPASS 4% 04/44","30yr",,,,,"10964705746.12",,,,,,"Y"
"2017-07-05","'31335ASY5'","MBS","FHLMCGLD 3.5% 12/43","30yr",,,,,"10443207862.3",,,,,,"Y"
"2017-07-05","'3138ETP83'","MBS","FNMA MORTPASS 3% 01/46","30yr",,,,,"10413259279.37",,,,,,"Y"
"2017-07-05","'3138ETQA7'","MBS","FNMA MORTPASS 3% 05/45","30yr",,,,,"10270473345.4",,,,,,"Y"
"2017-07-05","'3138ETKJ4'","MBS","FNMA MORTPASS 3.5% 04/45","30yr",,,,,"10200729355.6",,,,,,"Y"
"2017-07-05","'31335AT65'","MBS","FHLMCGLD 3% 01/43","30yr",,,,,"10040683435.28",,,,,,"Y"
"2017-07-05","'3138ETK21'","MBS","FNMA MORTPASS 4% 02/45","30yr",,,,,"9610216103.08",,,,,,"Y"
"2017-07-05","'3138EQWB4'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"9562056920.29",,,,,,"Y"
"2017-07-05","'36179SJS7'","MBS","GNMA II MORTPASS 3% 08/46","30yr",,,,,"9342400373.79",,,,,,""
"2017-07-05","'31335AT57'","MBS","FHLMCGLD 4% 05/45","30yr",,,,,"9341255665.27",,,,,,"Y"
"2017-07-05","'31335ARV2'","MBS","FHLMCGLD 3.5% 01/44","30yr",,,,,"9193630157.56",,,,,,"Y"
"2017-07-05","'36179SSP3'","MBS","GNMA II MORTPASS 3% 12/46","30yr",,,,,"8814890940.37",,,,,,""
"2017-07-05","'36179M2P4'","MBS","GNMA II MORTPASS 3% 02/43","30yr",,,,,"8641262579.85",,,,,,""
"2017-07-05","'3138EQE65'","MBS","FNMA MORTPASS 4.5% 08/40","30yr",,,,,"8527437155.12",,,,,,"Y"
"2017-07-05","'31335AVQ8'","MBS","FHLMCGLD 4% 12/44","30yr",,,,,"8522060119.34",,,,,,"Y"
"2017-07-05","'31335AT40'","MBS","FHLMCGLD 4% 05/44","30yr",,,,,"8396370501.4",,,,,,"Y"
"2017-07-05","'3138EQGA4'","MBS","FNMA MORTPASS 4.5% 09/42","30yr",,,,,"8342377449.7",,,,,,"Y"
"2017-07-05","'3138EQ7C0'","MBS","FNMA MORTPASS 3.5% 05/43","30yr",,,,,"8297516429.02",,,,,,"Y"
"2017-07-05","'31335AVT2'","MBS","FHLMCGLD 3.5% 02/45","30yr",,,,,"8269873412.51",,,,,,"Y"
"2017-07-05","'3138ETKZ8'","MBS","FNMA MORTPASS 2.5% 02/28","15yr",,,,,"7946223917.51",,,,,,"Y"
"2017-07-05","'3138ETK47'","MBS","FNMA MORTPASS 2.5% 03/29","15yr",,,,,"7908329043.32",,,,,,"Y"
"2017-07-05","'3138EQE57'","MBS","FNMA MORTPASS 4% 06/42","30yr",,,,,"7487455197.31",,,,,,"Y"
"2017-07-05","'36179SEG8'","MBS","GNMA II MORTPASS 3% 06/46","30yr",,,,,"7456583703.94",,,,,,""
"2017-07-05","'3128MJY61'","MBS","FHLMCGLD 3% 11/46","30yr",,,,,"7417066773",,,,,,""
"2017-07-05","'31335ASZ2'","MBS","FHLMCGLD 4% 04/44","30yr",,,,,"7100995881.48",,,,,,"Y"
"2017-07-05","'3138ETK62'","MBS","FNMA MORTPASS 2.5% 01/28","15yr",,,,,"7032495295.61",,,,,,"Y"
"2017-07-05","'3140J5G29'","MBS","FNMA MORTPASS 3% 03/46","30yr",,,,,"6916793039.34",,,,,,"Y"
"2017-07-05","'36179RLP2'","MBS","GNMA II 3.5% 08/45","30yr",,,,,"6605509238.46",,,,,,""
"2017-07-05","'36179NF60'","MBS","GNMA II MORTPASS 3% 06/43","30yr",,,,,"6538616120.7",,,,,,""
